GenBank	Description	Fold change	P-value a
NM_000349.1	Steroidogenic acute regulatory protein (STAR)	71.1	0.029
NM_006614.1	Cell adhesion molecule with homology to L1CAM (close homolog of L1) (CHL1)	15.5	0.029
NM_001262.1	Cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4) (CDKN2C)	15.3	0.029
NM_014057.1	Osteoglycin (osteoinductive factor, mimecan) (OGN)	12.1	0.029
NM_007361.1	Nidogen 2 (NID2)	10.5	0.029
NM_000552.2	von Willebrand factor (VWF)	10.1	0.029
NM_014060.1	MCT-1 protein (MCT-1)	9	0.029
NM_024494.1	Wingless-type MMTV integration site family, member 2B (WNT2B), transcript variant WNT-2B2	8	0.514
NM_000115.1	Endothelin receptor type B (EDNRB), transcript variant 1	7.9	0.514
NM_002290.2	Laminin, alpha 4 (LAMA4)	7.3	0.029
NM_000125.1	Estrogen receptor 1 (ESR1)	7.3	0.029
NM_005863.1	Neuroepithelial cell transforming gene 1 (NET1)	7.2	0.029
NM_003012.2	Secreted frizzled-related protein 1 (SFRP1)	7.1	0.086
NM_002006.1	Fibroblast growth factor 2 (basic) (FGF2)	6.6	0.029
NM_001147.1	Angiopoietin 2 (ANGPT2)	6.6	0.086
NM_014799.1	Hephaestin (HEPH)	6.4	0.029
NM_005025.1	Protease inhibitor 12 (neuroserpin) (SERPINI1)	6	0.314
NM_001709.1	Brain-derived neurotrophic factor (BDNF)	5.8	0.029
NM_022844.1	Myosin, heavy polypeptide 11, smooth muscle (MYH11), transcript variant SM2	5.6	0.029
NM_001613.1	Actin, alpha 2, smooth muscle, aorta (ACTA2)	5.4	0.029
NM_012082.2	Friend of GATA2 (FOG2)	5.4	0.029
NM_001855.1	Collagen, type XV, alpha 1 (COL15A1)	5.2	0.029
NM_005010.1	Neuronal cell adhesion molecule (NRCAM)	5	0.314
