Function	Genbank	Probe ID	GC-RMA norm. dLEC intensity	MAS 5 norm. dLEC intensity	GC-RMA norm. iLEC intensity	MAS 5 norm. iLEC intensity	Average fold change	GC-RMA q-value	MAS 5 q-value	Description	Function
SCARB2	AA885297	201646_at	1.5086946	1.4808483	0.78274995	0.85409695	-1.927428549	0.0828	0.0341	Scavenger receptor class B, member 2	Cell adhesion
CDH5	NM_001795	204677_at	1.448899	1.2573787	0.84149307	0.8982839	-1.72181929	0.0477	0.0341	Cadherin 5, type 2, VE-cadherin (vascular epithelium)	Cell adhesion
NID1	NM_002508	202008_s_at	1.6931841	1.7067899	0.60536486	0.6040172	-2.796964627	0.0644	0.0474	Nidogen 1 (enactin)	Cell adhesion
PECAM1	AA702701	208981_at	1.2525032	1.1508915	0.8393557	0.86732805	-1.492219806	0.0926	0.0465	Platelet/endothelial cell adhesion molecule (CD31 antigen)	Cell adhesion
CD164	BF669455	208654_s_at	1.4520993	1.1389807	0.7284873	0.67809933	-1.993307639	0.0644	0.0843	CD164 antigen, sialomucin	Cell adhesion
TANK	U59863	209451_at	1.4623852	1.5288996	0.80995095	0.80410224	-1.805523162	0.0978	0.0378	TRAF family member-associated NFKB activator	Signal transduction
FKBP1A	AI936769	214119_s_at	1.3621678	1.1146208	0.7270161	0.68734217	-1.873641863	0.0597	0.0467	FK506 binding protein 1A, 12kDa	Signal transduction
PRKD3	NM_005813	218236_s_at	1.6011606	1.2997866	0.893516	0.80676043	-1.791977536	0.0559	0.032	Protein kinase D3	Signal transduction
SMAD4	NM_005359	202527_s_at	1.3977801	1.4315605	0.89228547	0.8286183	-1.566516711	0.0477	0.032	SMAD, mothers against DPP homolog 4 (Drosophila)	Signal transduction
MBIP	NM_016586	218411_s_at	1.1701914	1.2000666	0.83037853	0.7748436	-1.409226464	0.0873	0.0777	MAP3K12 binding inhibitory protein 1	Signal transduction
PLD1	AJ276230	215723_s_at	1.5388325	1.820197	0.6032359	0.83503264	-2.550963064	0.0477	0.032	Phospholipase D1, phophatidylcholine-specific	Signal transduction
PPP1R2	NM_006241	202166_s_at	1.6918778	1.4235272	0.77592164	0.8624711	-2.18047508	0.0873	0.0908	Protein phosphatase 1, regulatory (inhibitor) subunit 2	Signal transduction
PKN2	BG292065	212628_at	1.1882693	1.1365271	0.80040455	0.853528	-1.484585888	0.0559	0.0833	protein kinase N2	Signal transduction
RHEB	BF033683	213404_s_at	1.3786925	1.2886466	0.8162533	0.7518877	-1.689049833	0.0559	0.0438	In multiple clusters	Signal transduction
SHC1	AI809967	201469_s_at	1.3329388	1.244905	0.6770933	0.7154853	-1.968619096	0.0965	0.0879	SHC (Src homology 2 domain containing) transforming protein 1	Signal transduction
SOS2	AI628605	212870_at	1.1780907	1.37936	0.7837821	0.850721	-1.503084467	0.0929	0.0438	Son of sevenless homolog 2 (Drosophila)	Signal transduction
YES1	NM_005433	202933_s_at	1.2354451	1.1929164	0.73575443	0.75720537	-1.679154144	0.0828	0.072	V-yes-1 Yamaguchi sarcoma viral oncogene homolog 1	Signal transduction
RAB7	BG261416	211960_s_at	1.3592658	1.2152538	0.7831817	0.920396	-1.735568898	0.0607	0.0341	RAB7, member RAS oncogene family	Signal transduction
NDFIP1	NM_030571	217800_s_at	1.2866677	1.2222291	0.8052745	0.7774279	-1.597800129	0.0666	0.0609	Nedd4 family interacting protein 1	Signal transduction
SYDE1	AF209931	216272_x_at	1.09108	1.2120277	0.8662119	0.83502704	-1.259599412	0.0873	0.0672	Synapse defective 1, Rho GTPase, homolog 1 (C. elegans)	Signal transduction
CD164	BF669455	208654_s_at	1.4520993	1.1389807	0.7284873	0.67809933	-1.993307639	0.0644	0.0843	CD164 antigen, sialomucin	Signal transduction
SMC3	AF020043	209259_s_at	1.3219099	1.352247	0.8311165	0.8869776	-1.590522989	0.0477	0.032	Structural maintenance of chromosomes 3	Signal transduction
GCC2	NM_014635	202832_at	1.2609581	1.1851169	0.8747458	0.87527734	-1.441513752	0.0884	0.0996	GRIP and coiled-coil domain containing 2	Signal transduction
CEP57	AL525206	203493_s_at	1.4047868	1.082975	0.75994724	0.8295483	-1.848532011	0.0607	0.0469	centrosomal protein 57kDa	Signal transduction
DDEF2	NM_003887	206414_s_at	1.3849409	1.2593793	0.8996418	0.8934633	-1.539435918	0.0828	0.0448	Development and differentiation enhancing factor 2	Signal transduction
CENTB2	D26069	212476_at	1.4061816	1.0929776	0.9274598	0.8004475	-1.516164474	0.0978	0.0764	Centaurin, beta 2	Signal transduction
RHOBTB1	AB018283	212651_at	1.3197728	1.3332729	0.69950724	0.7660371	-1.886717856	0.0597	0.0425	Rho-related BTB domain containing 1	Signal transduction
ZMYND11	NM_006624	202137_s_at	1.3653259	1.3786905	0.6778198	0.77804583	-2.014290376	0.0828	0.0448	Zinc finger, MYND domain containing 11	Cell cycle and proliferation
SEPT10	BF966021	212698_s_at	1.4605054	1.0854558	0.86472774	0.735303	-1.688977157	0.0477	0.0672	Septin 10	Cell cycle and proliferation
RAD21	NM_006265	200608_s_at	1.2522732	1.0807799	0.77997327	0.8508703	-1.605533482	0.09	0.0873	RAD21 homolog (S. pombe)	Cell cycle and proliferation
SHC1	AI809967	201469_s_at	1.3329388	1.244905	0.6770933	0.7154853	-1.968619096	0.0965	0.0879	SHC (Src homology 2 domain containing) transforming protein 1	Cell cycle and proliferation
CCNG2	NM_004354	202770_s_at	1.6543576	2.0331473	0.77390355	0.78900826	-2.137679301	0.0741	0.0341	Cyclin G2	Cell cycle and proliferation
TIA1	H96549	201447_at	1.1897987	1.1013674	0.77376103	0.86937094	-1.537682377	0.064	0.0875	TIA1 cytotoxic granule-associated RNA binding protein	Cell cycle and proliferation
CD164	BF669455	208654_s_at	1.4520993	1.1389807	0.7284873	0.67809933	-1.993307639	0.0644	0.0843	CD164 antigen, sialomucin	Cell cycle and proliferation
APBB2	BF115739	212985_at	1.8007938	1.4734772	0.6842878	0.64047056	-2.631632188	0.0955	0.0438	amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)	Cell cycle and proliferation
PPM1B	AJ271832	213225_at	1.2341739	1.5276436	0.80175436	0.8140962	-1.539341676	0.0828	0.0386	Protein phosphatase 1B (formerly 2C), magnesium-dependent, beta isoform	Cell cycle and proliferation
UBE2E3	AB017644	210024_s_at	1.3993742	1.215836	0.9350779	0.9065808	-1.496532214	0.081	0.0847	Ubiquitin-conjugating enzyme E2E 3 (UBC4/5 homolog, yeast)	Cell cycle and proliferation
HLA-C	M12679	214459_x_at	1.1880947	1.1658878	0.82260466	0.84843373	-1.444308254	0.0936	0.0694	Major histocompatibility complex, class I, C	Cell motility and organization
CALD1	NM_004342	201617_x_at	1.4664769	1.2586851	0.67213315	0.7023186	-2.181824985	0.0597	0.0617	Caldesmon 1	Cell motility and organization
RANBP9	NM_005493	202583_s_at	1.3111165	1.3495997	0.8010177	0.8912922	-1.636813394	0.0721	0.032	RAN binding protein 9	Cell motility and organization
MAP1S	NM_018174	218522_s_at	1.2229272	1.495092	0.7895178	0.68550736	-1.548954564	0.0945	0.0386	Microtubule-associated protein 1S	Cell motility and organization
SMC3	AF020043	209259_s_at	1.3219099	1.352247	0.8311165	0.8869776	-1.590522989	0.0477	0.032	Structural maintenance of chromosomes 3	Cell motility and organization
CEP57	AL525206	203493_s_at	1.4047868	1.082975	0.75994724	0.8295483	-1.848532011	0.0607	0.0469	centrosomal protein 57kDa	Cell motility and organization
DARS	NM_001349	201624_at	1.661306	1.5645562	0.6749396	0.72247946	-2.461414325	0.0828	0.0756	Aspartyl-tRNA synthetase	Cellular metabolism
GNS	AW167793	212335_at	1.2394024	1.2320493	0.7020191	0.85389644	-1.765482449	0.0731	0.0764	Glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID)	Cellular metabolism
IDS	AI926544	212223_at	1.7112697	1.4888805	0.6963427	0.77384245	-2.457510792	0.0721	0.0445	Iduronate 2-sulfatase (Hunter syndrome)	Cellular metabolism
PRKD3	NM_005813	218236_s_at	1.6011606	1.2997866	0.893516	0.80676043	-1.791977536	0.0559	0.032	Protein kinase D3	Cellular metabolism
PPP1R2	NM_006241	202166_s_at	1.6918778	1.4235272	0.77592164	0.8624711	-2.18047508	0.0873	0.0908	Protein phosphatase 1, regulatory (inhibitor) subunit 2	Cellular metabolism
LYPLA1	BG288007	212449_s_at	1.2404513	1.1216606	0.7875369	0.8122918	-1.575102449	0.0578	0.065	Lysophospholipase I	Lipid metabolism
PLD1	AJ276230	215723_s_at	1.5388325	1.820197	0.6032359	0.83503264	-2.550963064	0.0477	0.032	Phospholipase D1, phophatidylcholine-specific	Lipid metabolism
SCP2	BC005911	211733_x_at	1.2943064	1.0928382	0.9181306	0.9231838	-1.409719271	0.0673	0.0698	Sterol carrier protein 2	Lipid metabolism
APOD	NM_001647	201525_at	2.3897824	1.8227243	0.3716907	0.43344235	-6.429492048	0.064	0.0415	Apolipoprotein D	Lipid metabolism
PUM2	BE778078	201493_s_at	1.3197244	1.2006941	0.8514775	0.91071653	-1.549922811	0.0607	0.0764	Vacuolar protein sorting 35 (yeast)	Transcriptional and translational regulation
QKI	AL031781	212265_at	1.1634985	1.183928	0.631469	0.7801905	-1.842526712	0.0873	0.0438	Quaking homolog, KH domain RNA binding (mouse)	Transcriptional and translational regulation
APBB2	BF115739	212985_at	1.8007938	1.4734772	0.6842878	0.64047056	-2.631632188	0.0955	0.0438	amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)	Transcriptional and translational regulation
TAZ	NM_015472	202134_s_at	1.3472258	1.2190851	0.7420931	0.60157776	-1.815440408	0.0876	0.0549	transcriptional co-activator with PDZ-binding motif (TAZ)	Transcriptional and translational regulation
SMAD4	NM_005359	202527_s_at	1.3977801	1.4315605	0.89228547	0.8286183	-1.566516711	0.0477	0.032	SMAD, mothers against DPP homolog 4 (Drosophila)	Transcriptional and translational regulation
MEF2A	NM_005587	208328_s_at	1.6133937	1.5881057	0.7747101	0.73289824	-2.082577341	0.0741	0.032	MADS box transcription enhancer factor 2, polypeptide A (myocyte enhancer factor 2A)	Transcriptional and translational regulation
REST	AV682285	212920_at	1.4955515	1.4224023	0.8352006	0.80602586	-1.790649456	0.0574	0.032	RE1-silencing transcription factor	Transcriptional and translational regulation
SOX4	AL136179	201417_at	1.2146829	1.184706	0.8448513	0.812496	-1.437747566	0.0477	0.0672	SRY (sex determining region Y)-box 4	Transcriptional and translational regulation
SP2	D28588	204367_at	1.7415441	1.2576742	0.8283708	0.8029926	-2.102372633	0.0477	0.067	Sp2 transcription factor	Transcriptional and translational regulation
STAU	AL136601	211505_s_at	1.4034442	1.3393182	0.73652107	0.7995726	-1.905504482	0.0477	0.033	Staufen, RNA binding protein (Drosophila)	Transcriptional and translational regulation
SNAP23	BC003686	209130_at	1.2210855	1.1944828	0.9149857	0.9064957	-1.334540529	0.0477	0.032	Synaptosomal-associated protein, 23kDa	Transport
STXBP3	NM_007269	203310_at	1.3039057	1.2415113	0.89409155	0.8641527	-1.458358151	0.0873	0.032	Syntaxin binding protein 3	Transport
SEC24D	NM_014822	202375_at	1.3649246	1.1815856	0.85605496	0.8048922	-1.594435712	0.0898	0.0508	SEC24 related gene family, member D (S. cerevisiae)	Transport
