Probe Set	GenBank	Gene Symbol	Gene name / description	Fold change
1457435	NM_008664	Myom2	myomesin 2	33.67
1450917	NM_008664	Myom2	myomesin 2	30.77
1438175	NM_008664	Myom2	myomesin 2	17.06
1419527	NM_016685	Comp	cartilage oligomeric matrix protein	14.2
1444992	None	None	expressed sequence AI120166	13.27
1433837	BC058515	8430408G22RIK	RIKEN cDNA 8430408G22 gene	8.92
1450863	NM_019978	Dcamkl1	double cortin and calcium/calmodulin-dependent protein kinase-like 1	7.55
1425357	NM_011824	Grem1	gremlin 1	6.65
1433836	NM_145980	8430408G22RIK	RIKEN cDNA 8430408G22 gene	6.53
1428902	AK003880	1110020P09RIK	carbohydrate sulfotransferase 11	6.53
1449488	NM_011097	Pitx1	paired-like homeodomain transcription factor 1	6.05
1426936	None	None	cDNA sequence BC005512	5.99
1447458	AK043003	Siat4c	ST3 beta-galactoside alpha-2,3-sialyltransferase 4	5.96
1442568	None	None	RIKEN cDNA C330002I19 gene	5.81
1418456	NM_019568	Cxcl14	chemokine (C-X-C motif) ligand 14	5.26
1451342	NM_145584	Spon1	spondin 1, (f-spondin) extracellular matrix protein	5.24
1451355	NM_139306	Crg-l1	RIKEN cDNA 2410116I05 gene	5.11
1456552	None	None	clone:E330015D05 product:hypothetical protein, full insert sequence	4.96
1447570	AK079275	Akap10	A kinase (PRKA) anchor protein 10 (Akap10), mRNA	4.95
1451289	BC050903	Dcamkl1	double cortin and calcium/calmodulin-dependent protein kinase-like 1	4.95
1424271	None	None	double cortin and calcium/calmodulin-dependent protein kinase-like 1	4.69
1456319	None	None	EST X83313	4.69
1441228	AK085884	None	PREDICTED: similar to vascular early response gene protein [Mus musculus]	4.6
1445323	NM_015764	Greb1	gene regulated by estrogen in breast cancer protein	4.54
1431225	BC048721	6230403H02RIK	SRY-box containing gene 11 (Sox11), mRNA	4.54
1438258	AK036010	Vldlr	very low density lipoprotein receptor	4.45
1442316	NM_013735	Trp53bp1	transformation related protein 53 binding protein 1	4.38
1444487	BC037373	Lrat		4.33
1422055	NM_010797	Mid1	midline 1	4.31
1439527	None	None	clone:9930117J11 product:hypothetical protein, full insert sequence	4.21
1436659	None	None	Double cortin and calcium/calmodulin-dependent protein kinase-like 1	4.08
1436538	BC039642	2310006J04RIK	Lrp2 binding protein	3.94
1439558	NM_172918	Zfp75	zinc finger protein 75	3.93
1459187	AK079083	Siat4c	ST3 beta-galactoside alpha-2,3-sialyltransferase 4	3.89
1419593	NM_015764	Greb1	gene regulated by estrogen in breast cancer protein	3.78
1449071	NM_022879	Myl7	myosin, light polypeptide 7, regulatory	3.67
1431213	NM_001012326	None	RIKEN cDNA 1300007C21 gene	3.65
1424270	BC050903	Dcamkl1	double cortin and calcium/calmodulin-dependent protein kinase-like 1	3.58
1447096	None	None	Pre B-cell leukemia transcription factor 1	3.51
1455193	NM_153541	Zbtb8	zinc finger and BTB domain containing 8	3.38
1418937	NM_010050	Dio2	deiodinase, iodothyronine, type II	3.27
1429718	NM_029273	Slitrk5	SLIT and NTRK-like family, member 5	3.26
1445980	None	None	Ahd-2=acetaldehyde dehydrogenase	3.23
1443153	AK045549	6030460N08RIK	Thyroid hormone receptor interactor 11	3.22
1438239	AY540035	Mid1	midline 1	3.2
1441684	AK011858	Ttc3	tetratricopeptide repeat domain 3	3.18
1440320	None	None	Nuclear respiratory factor 1	3.15
1429169	AK011224	Rbm3	RNA binding motif protein 3	3.12
1420940	NM_009063	Rgs5	regulator of G-protein signaling 5	3.11
1443848	None	None		3.1
1456162	None	None	adducin 3 (gamma)	3.07
1451756	BC029674	Flt1	FMS-like tyrosine kinase 1	3.06
1444124	AK054344	E330017L17RIK	RIKEN cDNA E330017L17 gene	3.06
1451602	BC025911	Snx6	sorting nexin 6	3.04
1443119	AK032068	Grm7	glutamate receptor, metabotropic 7	3.04
1440790	None	None	Expressed sequence AL024069 (AL024069), mRNA	3.01
1429214	AK172978	A930008K15RIK	ADAMTS-like 2	3.01
1426519	NM_011030	P4ha1	procollagen-proline, 2-oxoglutarate 4-dioxygenase, alpha 1 polypeptide	2.97
1433691	NM_016854	Ppp1r3c	protein phosphatase 1, regulatory (inhibitor) subunit 3C	2.94
1439568	AK033573	Greb1	gene regulated by estrogen in breast cancer protein	2.91
1446625	AK033406	1810057C19RIK	RIKEN cDNA 1810057C19 gene	2.91
1457231	None	None	Hypoxia inducible factor 1, alpha subunit	2.9
1417900	NM_013703	Vldlr	very low density lipoprotein receptor	2.89
1448162	NM_011693	Vcam1	vascular cell adhesion molecule 1	2.87
1440926	None	None	FMS-like tyrosine kinase 1	2.86
1437937	NM_021609	Ccbp2	chemokine binding protein 2	2.86
1428571	BC046970	Col9a1	procollagen, type IX, alpha 1	2.84
1439699	AK086389	Pgr	Progesterone receptor (Pgr), mRNA	2.84
1450144	NM_008867	Pla2g1br	phospholipase A2, group IB, pancreas, receptor	2.83
1435893	AK036010	Vldlr	very low density lipoprotein receptor	2.82
1434465	NM_013703	Vldlr	very low density lipoprotein receptor	2.8
1434914	NM_173781	Rab6b	RAB6B, member RAS oncogene family	2.78
1426633	NM_001010826	None	potassium channel tetramerisation domain containing 14	2.77
1436240	None	None	RIKEN cDNA 1500010G04 gene (1500010G04Rik)	2.76
1455892	NM_001012326	Mela		2.76
1456122	AK035621	2900024P20RIK	RIKEN cDNA 2900024P20 gene	2.75
1422573	BC007183	Ampd3	AMP deaminase 3	2.74
1426632	NM_001010826	None	potassium channel tetramerisation domain containing 14	2.73
1449508	AF053005	IL27RA	interleukin 27 receptor, alpha	2.71
