Gene name (abbreviation)	Genbank accession no.	Affymetrix probe no.	Cl/N	Cl/Ph
Vimentin (VIM)	Z19 554	34 091_s_at	3.4	8.2
Insulin-like growth factor-binding protein-3 (IGFBP3)	M35878	37 319_at	11.9	35.9
Major histocompatibility complex, class II, DP beta 1 (HLA-DPB1)	M83664	38 095_i_at	3.2	5.4
Vascular endothelial growth factor (VEGF)	AF024710	1953_at	3.9	3.2
Vascular endothelial growth factor (VEGF)	AF022375	36 100_at	3.7	3
Nicotinamide N-methyltransferase (NNMT)	U08 021	37 032_at	92.4	110.4
Major histocompatibility complex, class II, DP beta 1 (HLA-DPB1)	M83664	38 096_f_at	3.2	5.4
Insulin-like growth factor-binding protein-3 (IGFBP3)	M35878	1586_at	7.3	16
Immunoglobulin A heavy chain allotype 2 (Ig alpha 2)	S71043	33 500_i_at	3.6	48
SNC73 protein (SNC73)	AF067420	33 499_s_at	3.8	34.6
Thymosin beta-10 (TMSB10)	M92383	31 481_s_at	3.7	4.4
Adipose differentiation-related protein (ADFP)	X97 324	34 378_at	6.2	59.4
Major histocompatibility complex, class II, DR beta 1 (HLA-DRB1)	M32578	41 723_s_at	3.6	7.4
RP1 and complement C4B precursor (C4B)	U24 578	40 766_at	4	44.6
Major histocompatibility complex class I G (HLA-G)	AL022723	37 420_i_at	6.5	3.5
Annexin A4 (ANXA4)	M82809	37 374_at	3.4	3.3
Tissue inhibitor of metalloproteinase 1 (TIP1)	D11139	1693_s_at	4.5	7.4
Fibronectin 1 (FN1)	X02 761	31 719_at	5.2	3.9
Transforming growth factor-beta induced gene product (BIGH3)	M77349	1385_at	13.5	10.7
RGS5 regulator of G-protein signalling 5 (RGS5)	AB008109	33 890_at	9.2	5.5
Galectin 1 (LGALS1)	AI535946	33 412_at	4.5	4.2
Monocyte/macrophage Ig-like receptor 10 (MIR10)	AF004230	35 926_s_at	5.9	11.1
Fibronectin 1 (FN1)	M10905	31 720_s_at	7.6	6.5
Alpha-1 collagen type IV (COL4A1)	M26576	39 333_at	3.9	3.9
Immunoglobulin heavy constant mu (IGHM)	X67 301	41 164_at	6.4	21.3
Natural killer cell transcript 4 (NK4)	AA631972	39 119_s_at	5.2	110.4
Transglutaminase (TGase)	M55153	38 404_at	4.7	15.5
Major histocompatibility complex, class II, DQ beta 1 (HLA-DQB1)	M60028	36 878_f_at	9.1	10.2
Major histocompatibility complex, class II, DQ beta 1 (HLA-DQB1)	M81141	36 773_f_at	5.6	6
TYRO protein tyrosine kinase binding protein (TYROBP)	W60 864	38 363_at	5.2	4.3
Platelet-type phosphofructokinase (PFKP)	D25328	39 175_at	5.5	7.6
Fatty acid binding protein 7 (FABP7)	AJ002962	35 185_at	26.4	32.4
B-cell CLL/lymphoma 1 (BCL1)	M73554	2020_at	8.4	4.4
Chemokine (C-X-C motif) receptor 4 (CXCR4)	L06797	649_s_at	5.8	8.1
Decidual protein induced by progesterone (DEPP)	AB022718	39 114_at	6.6	13.4
Lysosomal-associated multitransmembrane protein (LAPTM5)	U51 240	37 759_at	15.9	8.1
Vascular endothelial growth factor (VEGF)	M63978	36 101_s_at	17.2	9.6
Apolipoprotein C-I (APOC1)	AA976838	41 764_at	33.8	8.6
Complement component 1, q subcomponent, beta polypeptide (C1QB)	X03 084	38 796_at	30.1	23.7
Complement component 1, s subcomponent (C1S)	J04080	40 496_at	3.1	24
KIAA0062 protein (KIAA0062)	D31887	38 797_at	3.2	11.4
Platelet/endothelial cell adhesion molecule (PECAM1)	AA100961	37 398_at	4.2	6.5
Putative fatty acid desaturase (MLD)	AF002668	33 337_at	3.6	6.5
Collagen, type I, alpha 2 (COL1A2)	J03464	32 306_g_at	8.9	8.8
HLA class II alpha chain-like product (HLA-DMA)	X62 744	37 344_at	6.4	5.8
CD99 antigen (CD99)	M16279	41 138_at	3.5	8.5
Collagen, type I, alpha 2 (COL1A2)	V00 503	32 307_s_at	4.4	13.1
Hypothetical protein FLJ12443 (FLJ12443)	AW024 285	41 177_at	10.1	18.3
HIF-1 responsive RTP801(RTP801)	AA522530	39 827_at	3	15.6
Inhibin, beta B (INHBB)	M31682	38 545_at	26.7	10.5
