Accession no.	Gene name	Function
H88143	Kinase suppressor of ras (KSR)	Signal transduction
N36174	5-Hydroxytryptamine receptor 2B (HTR2B)	Signal transduction
R40460	Phosphatidylinositol 4-kinase catalytic ? (PIK4CA)	Signal transduction
R96626	Small inducible cytokine subfamily A member 14 (SCYA14)	Signal transduction
AA490300	PDGFA associated protein 1	Signal transduction
AA862371	IFN-induced transmembrane protein 2 (IFITM2)	Signal transduction
H79047	Insulin-like growth factor binding protein 2 (36 kDa)	Signal transduction
AA644448	Protein tyrosine phosphatase, receptor type, U	Signal transduction
T72202	Signal transducer and activator of transcription 6, interleukin-4 induced	Signal transduction
N90246	EphA1	Signal transduction
AA629567	Heat shock cognate 71 (HSPA8)RAD 	HSP
H65676	Hsp70-interacting protein (HIP)	HSP
R44334	Hsp90 ? (HSPCB)RAD 	HSP
R71093	Hsp47 (SERPINH2)RAD	HSP
R43766	Eukaryotic translation elongation factor 2 (EEF2)RAD 	Protein synthesis
AA430512	Serine (or cysteine) proteinase inhibitor clade B member 9 (SERPINB9)	Protein degradation
AA670200	Procollagen C-endopeptidase enhancer (PCOLCE)RAD	Protein degradation
H15456	Calpain 1 (CAPN1)	Protein degradation
R61332	Ubiquitin-activating enzyme E1 (UBE1) RAD	Protein degradation
AA427725	Carboxypeptidase X (CPZ)	Protein degradation
AA235706	RNA polymerase II TBP-associated factor H (TAF2H)	Transcription
AA428551	Sex determining region Y-box 22 (SOX22)	Transcription
AA436409	TAR RNA-binding protein 2 (TARBP2)	Transcription
AA454218	TATA box binding protein–associated factor RNA polymerase I C(TAF1C)	Transcription
AA633811	Nuclear factor interleukin 3 regulated (NFIL3)	Transcription
H24688	SWI, SNF-related matrix-associated actin-dependent regulator of chromatin subfamily c member 2	Chromatin
AA069770	Potassium voltage–gated channel Shab-related subfamily member 1(KCNB1)	Transport
AA402874	Phospholipid transfer protein (PLTP)	Transport
AA452148	Syntaxin 5A (STX5A)	Transport
AA490044	Inositol transporter (SLC5A3)	Transport
H61243	Uncoupling protein 2 (UCP2)	Transport
AA455126	ATP synthase H+ transporting mitochondrial F0 complex subunit c isoform 2 (ATP5G2)	Metabolism
AA663439	Adenine nucleotide translocator 3 (ANT3)RAD	Metabolism
R61295	Adenine nucleotide translocator 3 (ANT3)	Metabolism
AA400329	Neurofilament 3 (NEF3)	Structure
AA877166	Myosin regulatory light chain 2 (MYLR2)RAD	Structure
H73276	Actin related protein 2, 3 complex subunit 3 (ARPC3)	Structure
T60117	Spectrin, ?, non-erythrocytic spectrin ? 1 (SPTAN1)RAD	Structure
N58511	Cyclin I (CCNI)RAD	Cell cycle
AA443039	Dual specificity phosphatase 11 (RNA, RNP complex 1-interacting)	RNA processing
AA045508	Adenylyl cyclase-associated protein 2	Unknown
AA487231	Cathepsin H	Unknown
N29376	Myeloid cell nuclear differentiation antigen	Unknown
R51835	EST	Unknown
R79935	EST	Unknown
