NCBI ID	Gene title	Gene symbol	Fold changes	P
NM_000575	IL-1, ?	IL1A	?419.51	0
NM_000576	IL-1, ?	IL1B	?59.60	0
NM_001511	Chemokine (C-X-C motif) ligand 1	CXCL1	?34.52	0
NM_019618	IL-1 family, member 9	IL1F9	?31.97	0
NM_004633	IL-1 receptor, type II	IL1R2	?17.12	4.4944e?15
NM_001562	IL-18 (IFN-?–inducing factor)	IL18	?6.77	1.4743e?11
NM_173841	IL-1 receptor antagonist	IL1RN	?5.55	3.5929e?14
NM_002185	IL-7 receptor	IL7R	?3.44	2.0053e?07
NM_002189	IL-15 receptor, ?	IL15RA	?2.15	2.2421e?10
NM_002993	Chemokine (C-X-C motif) ligand 6	CXCL6	?2.09	1.6221e?08
NM_000877	IL-1 receptor, type I	IL1R1	1.73	8.2312e?05
BX537762	IL-1 receptor-associated kinase 1 binding protein 1	IRAK1BP1	2.08	1.9731e?11
NM_001560	IL-13 receptor, ?1	IL13RA1	2.32	3.9523e?11
NM_000418	IL-4 receptor	IL4R	2.35	4.7612e?09
NM_004843	IL-27 receptor, ?	IL27RA	3.06	2.5659e?13
NM_002089	Chemokine (C-X-C motif) ligand 2	CXCL2	4.94	3.4889e?08
NM_004843	IL-27 receptor, ?	IL27RA	5.78	9.4763e?11
NM_003965	Chemokine (C-C motif) receptor-like 2	CCRL2	6.04	2.8468e?09
NM_018725	IL-17 receptor B	IL17RB	11.11	0
NM_172174	IL-15	IL15	15.39	0
NM_000600	IL-6 (IFN, ?2)	IL6	17.24	7.59e?11
NM_001008540	Chemokine (C-X-C motif) receptor 4	CXCR4	244.38	0
