Name	GenBank no.	Symbol	Fold increase
CD59 antigen p18-20	NM_203330	CD59	1.6
CD74 antigen	NM_004355	CD74	2.8
chemokine (C-C motif) ligand 5	NM_002985	CCL5	1.5
chemokine (C-X-C motif) ligand 1	NM_001511	CXCL1	1.8
chemokine (C-X-C motif) ligand 9	NM_002416	CXCL9	1.8
2-5-oligoadenylate synthetase	NM_002535	OAS2	3.1
beta-2-microglobulin	NM_004048	B2M	1.8
complement component 9	NM_001737	C9	1.6
interferon induced transmembrane protein 2 (1-8D)	NM_006435	IFITM2	1.6
interferon, alpha-inducible protein (clone IFI-15K)	NM_005101	G1P2	2.8
interferon, alpha-inducible protein 27	NM_005532	IFI27	2.2
interferon, gamma-inducible protein 16	NM_005531	IFI16	2.5
interferon-induced protein 44	NM_006417	IFI44	2.0
interferon-induced protein with tetratricopeptide repeats 1	NM_001548	IFIT1	3.7
major histocompatibility complex, class I, A	NM_002116	HLA-A	1.9
major histocompatibility complex, class I, B	NM_005514	HLA-B	2.1
major histocompatibility complex, class I, C	NM_002117	HLA-C	2.2
major histocompatibility complex, class I, E	NM_005516	HLA-E	1.8
major histocompatibility complex, class II, DP beta 1	NM_002121	HLA-DPB1	1.5
major histocompatibility complex, class II, DQ beta 1	NM_002123	HLA-DQB1	1.9
major histocompatibility complex, class II, DR beta 3	NM_002124	HLA-DRB3	1.7
proteasome (prosome, macropain) activator subunit 2 (PA28 beta)	NM_002818	PSME2	1.5
serine (or cysteine) proteinase inhibitor, clade A	NM_000295	SERPINA1	1.5
TAP binding protein (tapasin)	NM_003190	TAPBP	1.5
transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	NM_000593	TAP1	1.9
eukaryotic translation elongation factor 1 alpha 1	NM_001402	EEF1A1	1.6
eukaryotic translation initiation factor 3, subunit 6 48kDa	NM_001568	EIF3S6	2.0
ferritin, heavy polypeptide 1	NM_002032	FTH1	2.0
lysozyme (renal amyloidosis)	NM_000239	LYZ	2.0
GM2 ganglioside activator protein	NM_000405	GM2A	1.5
