Gene Name	GenBankID	AffyID	Fold Change	P value	FDR	Gene Title
APOBEC3G	AK092614	204205_at	1.27	0.02	13	Apolipoprotein B mRNA editing enzyme Type 1 tumor necrosis factor receptor shedding aminopeptidase
ARTS-1	AB011097	209788_s_at	1.32	0.004	5	regulator
BRDG1	BM909563	220059_at	2.06	0.004	3	BCR downstream signaling 1
C1QA	BU732324	218232_at	1.37	0.005	5	Complement component 1, q subcomponent, alpha polypeptide
C1QB	BM548251	202953_at	1.43	0.005	5	Complement component 1, q subcomponent, beta polypeptide
C1qRP / CD93	NM_012072	202878_s_at	1.21	0.04	20	CD93 antigen
CCL19	BM720436	210072_at	1.63	0.01	9	Chemokine (C-C motif) ligand 19
CCL4	CD521853	204103_at	1.58	0.01	9	Chemokine (C-C motif) ligand 4
CCL5	BM917378	204655_at	1.51	0.003	3	Chemokine (C-C motif) ligand 5
CCL6	BM917378	1405_i_at	1.61	0.001	2	Chemokine (C-C motif) ligand 5
CD1C	NM_001765	205987_at	1.3	0.002	3	CD1C antigen, c polypeptide
CD28	NM_006139	206545_at	1.38	0.0008	11	CD28 antigen
CD53	BC035456	203416_at	1.34	0.009	6	CD53 antigen
CD83	NM_004233	204440_at	1.39	0.001	3	CD83 antigen
CLEC4A	AF328684	219947_at	1.24	0.01	9	C-type lectin domain family 4, member A
CLU	NM_203339	208792_s_at	1.28	0.04	17	Clusterin
CLU	NM_203339	208791_at	1.26	0.04	17	Clusterin
CSF2RB	BC070085	205159_at	1.42	0.01	8	Colony stimulating factor 2 receptor, beta
CTSC	BX537913	201487_at	1.35	0.006	5	Cathepsin C
CXCL9	BC042178	203915_at	1.87	0.04	16	Chemokine (C-X-C motif) ligand 9
EBI2	NM_004951	205419_at	1.56	0.007	5	Epstein-Barr virus induced gene 2
FAIM3	NM_005449	221601_s_at	1.55	0.01	6	Fas apoptotic inhibitory molecule
FCGR2B	X62573	210889_s_at	1.27	0.04	17	Fc fragment of IgG, low affinity IIb, receptor
FYB	AL832727	211795_s_at	1.27	0.02	14	FYN binding protein
GBP1	M55542	202270_at	1.37	0.04	17	Guanylate binding protein 1, interferon-inducible
HLA-B	AK124160	211911_x_at	1.34	0.0003	0	Major histocompatibility complex, class I, B
HLA-B	AK124160	208729_x_at	1.23	0.005	6	Major histocompatibility complex, class I, B
HLA-B	AK124160	209140_x_at	1.2	0.003	5	Major histocompatibility complex, class I, B
HLA-C	BF341582	211799_x_at	1.41	7.73E-05	0	Major histocompatibility complex, class I, C
HLA-C	BF341582	214459_x_at	1.2	0.0004	2	Major histocompatibility complex, class I, C
HLA-DQA1	BC051832	212671_s_at	1.48	0.009	6	Major histocompatibility complex, class II, DQ alpha 1
HLA-DQA1	BC051832	213831_at	1.57	0.04	16	Major histocompatibility complex, class II, DQ alpha 1
HLA-DQB1	BM701265	209823_x_at	1.48	0.002	3	Major histocompatibility complex, class II, DQ beta 1
HLA-DQB1	BM701265	211656_x_at	1.31	0.002	3	Major histocompatibility complex, class II, DQ beta 1
HLA-DQB1	BM701265	211654_x_at	1.32	0.008	6	Major histocompatibility complex, class II, DQ beta 1
HLA-DQB1	BM701265	209480_at	1.5	0.02	11	Major histocompatibility complex, class II, DQ beta 1
HLA-DQB1	BM701265	212998_x_at	1.39	0.004	5	Major histocompatibility complex, class II, DQ beta 1
HLA-DRB1	BQ067599	209312_x_at	1.3	0.004	5	Major histocompatibility complex, class II, DR beta 1
HLA-DRB1	BQ067599	215193_x_at	1.3	0.004	5	Major histocompatibility complex, class II, DR beta 1
HLA-DRB1	BQ067599	204670_x_at	1.27	0.009	7	Major histocompatibility complex, class II, DR beta 1
HLA-F	AK096962	221875_x_at	1.25	0.007	5	Major histocompatibility complex, class I, F
HLA-F	AK096962	221978_at	1.36	0.007	6	Major histocompatibility complex, class I, F
HLA-F	AK096962	204806_x_at	1.29	0.004	5	Major histocompatibility complex, class I, F
HLA-G	AK093478	211529_x_at	1.22	0.002	5	HLA-G histocompatibility antigen, class I, G
IFI6	BM458012	204415_at	1.62	0.01	7	Interferon, alpha-inducible protein 6
IFI27	BQ053892	202411_at	1.34	0.004	5	Interferon, alpha-inducible protein 27
IFIT3	AF026939	204747_at	1.25	0.005	5	Interferon-induced protein with tetratricopeptide repeats 3
IFITM1	BF210063	214022_s_at	1.4	0.001	2	Interferon induced transmembrane protein 1
IFITM1	BF210063	201601_x_at	1.35	0.002	3	Interferon induced transmembrane protein 1
IFITM2	BM993772	201315_x_at	1.23	0.009	7	Interferon induced transmembrane protein 2
IFITM3	BF965170	212203_x_at	1.22	0.006	6	Interferon induced transmembrane protein 3
IGH	AK090464	211430_s_at	1.78	0.002	3	Immunoglobulin heavy locus
IGHM	AK126320	209374_s_at	2.37	0.005	5	Immunoglobulin heavy constant mu
IGHM	AK126320	212827_at	2.48	0.01	6	Immunoglobulin heavy constant mu
IL15	AK122993	205992_s_at	1.23	0.03	16	Interleukin 15
IL16	AL833554	209827_s_at	1.27	0.01	9	Interleukin 16
IL1R2	NM_004633	205403_at	1.23	0.02	13	Interleukin 1 receptor, type II
IL7R	AK124429	205798_at	1.61	0.003	3	Interleukin 7 receptor
INDO	M34455	210029_at	1.64	0.003	3	Indoleamine-pyrrole 2,3 dioxygenase
INHBB	NM_002193	205258_at	0.81	0.01	16	Inhibin, beta B
IRF1	BC009483	202531_at	1.38	0.005	5	Interferon regulatory factor 1
IRF8	CR599608	204057_at	1.3	0.006	5	Interferon regulatory factor 8
