Refseq id	Gene id	Gene symbol	Gene.Name	Fold Change	q-value (%)	Negative Fold Change
NM_001657	374	AREG	amphiregulin (schwannoma-derived growth factor)	0.46357093	3.3991674	-2.157167189
NM_057160	9048	ARTN	artemin	4.04740667	1.219488	NA
NM_001200	650	BMP2	bone morphogenetic protein 2	3.26999874	0	NA
NM_013246	23529	CLCF1	cardiotrophin-like cytokine factor 1	1.71619604	7.2505573	NA
NM_004864	9518	GDF15	growth differentiation factor 15	1.85145	8.1979458	NA
NM_005262	2671	GFER	growth factor, augmenter of liver regeneration (ERV1 homolog, S. cerevisiae)	1.85726036	2.4738185	NA
NM_004494	3068	HDGF	hepatoma-derived growth factor (high-mobility group protein 1-like)	1.85269379	8.27025	NA
NM_016073	50810	HDGFRP3	hepatoma-derived growth factor, related protein 3	1.44359713	9.8653909	NA
NM_001552	3487	IGFBP4	insulin-like growth factor binding protein 4	2.71099323	0.637618	NA
NM_198541	374918	IGFL1	insulin growth factor-like family member 1	3.7409301	8.1979458	NA
NM_006533	8190	MIA	melanoma inhibitory activity	2.09430562	2.6012277	NA
NM_006179	4909	NTF5	neurotrophin 5 (neurotrophin 4/5)	2.79771967	1.9393426	NA
NM_002632	5228	PGF	placental growth factor, vascular endothelial growth factor-related protein	4.37036056	0.637618	NA
NM_002704	5473	PPBP	pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)	3.71969709	2.3206861	NA
