Accession No	Gene	Fold	Function	Functional category
NM_000877	Interleukin 1 receptor, type I (IL1R1)	7.2	Cell surface receptor-linked signal, transduction	Receptors/ligands
NM_001562	Interleukin 18 (IL18)	3.4	Cell–cell signalling	Signal transduction
NM_005563	Stathmin 1/oncoprotein (STMN1)	2.7	Signal transduction	Signal transduction
NM_002888	Retinoic acid receptor responder 1 (RARRES1)	53	Tumour suppressor gene, negative regulation of cell proliferation	Cell growth and proliferation
NM_ 001343	Disabled homologue 2, mitogen-responsive phosphoprotein (DAB2)	2	Tumour suppressor gene, growth inhibition	Cell growth and proliferation
NM_014220	Transmembrane 4 superfamily member 1 (TM4SF1)	6.9	Signal transduction, regulation of cell development, growth, and motility	Cell growth and proliferation
NM_007019	Ubiquitin-conjugating enzyme E2C (UBE2C)	12	Inactivation and degradation of cdc2 and mitotic cyclins by ubiquitination	Cell growth and proliferation
NM_005192	Cyclin-dependent kinase inhibitor 3 (CDKN3)	6.1	Inhibition of CDK2 activity	Cell cycle
NM_002592	Proliferating cell nuclear antigen (PCNA)	3	Regulation of cell cycle, DNA binding	Cell cycle
NM_053056	Cyclin D1	2.5	Cyclin, oncogene, cell proliferation	Cell cycle
NM_031966	Cyclin B1 (CCNB1)	13	Regulation of cell cycle (in mitosis)	Cell cycle
NM_001530	Hypoxia-inducible factor 1, alpha subunit (HIF1A)	4.7	Transcription factor, cell stress	Transcription
NM_012333	C-myc binding protein (MYCBP)	3	Transcription factor, co-activator	Transcription
NM_003187	TAF9 RNA polymerase II, TATA box binding protein-associated factor, 32 kD (TAF9)	2.6	Transcription factor, co-activator	Transcription
NM_001641	APEX nuclease (multi-functional DNA repair enzyme) 1 (APEX1)	2.5	Transcription	Transcription
NM_005531	Interferon, gamma-inducible protein 16 (IFI16)	2.1	Transcription factor, DNA binding	Transcription
NM_004094	Eukaryotic translation initiation factor 2, subunit 1 alpha, 35 kD (EIF2S1)	2.8	Translation initiation factor	Translation factors
NM_001969	Eukaryotic translation initiation factor 5 (EIF5)	2	Translation factor, nucleic acid binding	Translation factors
NM_002916	Replication factor C 4, 37 kD (RFC4)	2	DNA replication factor	Nucleic acid processing
NM_174930	Post-meiotic segregation increased 2-like 9 (PMS2L9)	3.5	Nucleic acid binding	Nucleic acid processing
NM_003516	H2A histone family, member O (H2AFO)	5.2	DNA binding	Nucleic acid processing
NM_001809	Centromere protein A, 17 kD (CENPA)	4.2	DNA binding	Nucleic acid processing
NM_005916	MCM7 mini-chromosome maintenance deficient 7 (MCM7)	3.5	DNA binding and DNA replication	Nucleic acid processing
NM_003641	6-Pyruvoyltetrahydropterin synthase	26.6	Amino acid metabolism	Metabolism
NM_002887	Arginyl-tRNA synthetase (RARS)	2.4	Protein biosynthesis	Metabolism
NM_002643	Phosphatidylinositolglycan, class F (PIGF)	2	GPI anchor biosynthesis	Metabolism
NM_002818	Proteasome activator subunit 2 (PA28 beta)	39	Protein degradation	Metabolism
NM_014501	Ubiquitin carrier protein	2.6	Protein degradation	Metabolism
NM_002788	Proteasome subunit, alpha type, 3 (PSMA3)	2.4	Protein degradation	Metabolism
NM_002789	Proteasome subunit, alpha type, 4 (PSMA4)	2.1	Protein degradation, proteasome subunit	Metabolism
NM_000424	Keratin 5 (KRT5)	40.5	Epidermal differentiation	Differentiation
NM_013230	CD24 antigen (CD24)	16	Differentiation, immune response	Differentiation
NM_000041	Apolipoprotein E	4.6	Differentiation, lipid metabolism	Differentiation
NM_001202	Bone morphogenetic protein 4 (BMP4)	5	Mesoderm development, signal transducer	Differentiation
NM_003897	Immediate early response 3 (IER3)	2.2	Renders cells sensitive to apoptosis	Apoptosis
NM_020529	Nuclear factor of kappa light polypeptide gene enhancer in B-cell inhibitor, alpha (NFKBIA)	3.5	Inactivates NF-?B	Apoptosis
NM_005532	Interferon alpha-inducible protein 27 (IFI27)	2.6	Defence response	Defence response
NM_003299	Tumour rejection antigen (gp96) 1 (TRA1)	2	Response to stress, heat-shock protein	Defence response
