Unigene	Gene name	Description	Map	Avg tumor/avg mucosa	P
Hs.434059	ETV4	Ets variant gene 4 (E1A enhancer binding protein, E1AF)	17q21	2.7382	<1.0e-07
Hs.437058	STAT5A	Signal transducer and activator of transcription 5A	17q11.2	0.7192	3.0e-07
Hs.418533	BUB3	BUB3 budding uninhibited by benzimidazoles 3 homologue (yeast)	10q26	1.4868	5.0e-07
Hs.411098	NPM1	Nucleophosmin (nucleolar phosphoprotein B23, numatrin)	5q35	1.9731	1.4e-06
Hs.156316	DCN	Decorin	12q13.2	2.4333	2.7e-05
Hs.76753	ENG	Endoglin (Osler-Rendu-Weber syndrome 1)	9q33-q34.1	1.6315	4.0e-05
Hs.202453	MYC	V-myc myelocytomatosis viral oncogene homologue (avian)	8q24.12-q24.13	2.111	5.1e-05
Hs.436015	SRC	V-src sarcoma viral oncogene homologue (avian)	20q12-q13	0.5688	0.0002
Hs.93213	BAK1	BCL2-antagonist/killer 1	6p21.3	0.8047	0.0009
Hs.414795	SERPINE1	Serine (or cysteine) proteinase inhibitor, clade E, member 1	7q21.3-q22	1.6132	0.0066
Hs.9460	SP1	Sp1 transcription factor	12q13.1	0.6846	0.0199
Hs.132594	RELA	V-rel reticuloendotheliosis viral oncogene homologue A	11q13	0.8308	0.0246
Hs.141125	CASP3	Caspase 3, apoptosis-related cysteine protease	4q34	1.7159	0.029
Hs.172609	NUCB1	Nucleobindin 1	19q13.2-q13.4	0.8474	0.0376
Hs.447905	E2F5	E2F transcription factor 5, p130-binding	8q21.2	0.6615	0.1074
Hs.389900	BLK	B lymphoid tyrosine kinase	8p23-p22	1.1951	0.5795
Hs.245188	TIMP3	Tissue inhibitor of metalloproteinase 3	22q12.1-q13.2	0.9517	0.5977
Hs.6441	TIMP2	Tissue inhibitor of metalloproteinase 2	17q25	1.0839	0.6481
Hs.408312	TP53	Tumor protein p53 (Li-Fraumeni syndrome)	17p13.1	0.9619	0.6734
