Genbank#	Gene Symbol	Gene Name	CvsE	24hr	Expression
NM_014932.1	NLGN1	neuroligin 1	4.5	-1.8	upregulated
AF162704.1	AR	androgen receptor	2.5	-1.7	upregulated
BC003600.1	LMO4	LIM domain only 4	2.3	1.4	upregulated
NM_004566.1	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	1.8	2.7	upregulated
NM_017909.1	C6orf96	chromosome 6 open reading frame 96	1.8	1.8	upregulated
NM_006366.1	CAP2	adenylate cyclase-associated protein, 2 (yeast)	1.8	2	upregulated
NM_017826.1	FLJ20449	hypothetical protein FLJ20449	1.7	1.7	upregulated
NM_003358.1	UGCG	UDP-glucose ceramide glucosyltransferase	1.7	1.6	upregulated
BC000278.1	CA12	carbonic anhydrase XII	1.6	3.2	upregulated
AF133207.1	H11	protein kinase H11	1.6	2.8	upregulated
BC00368.1	SLC19A1	solute carrier family 19 (folate transporter), member 1	1.5	1.6	upregulated
NM_000346.1	SOX9	SRY(sex determmining region Y)-box 9	1.5	-2.2	upregulated
M61906.1	PIK3R1	phosphoinositide-3-kinase, regulatory subunit 1	1.5	-1.6	upregulated
AB011092.1	ADCY9	adenylate cyclase 9	1.4	2.4	upregulated
AL136139	NEDD9	neural precursor cell expressed, developmentally down-regulated 9	1.4	1.6	upregulated
AF109161.1	CITED2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	1.2	-1.9	upregulated
U20350.1	CX3CR1	chemokine (C-X3-C motif) receptor 1	-2.8	-2.6	downregulated
NM_05420.1	SULT1E1	sulfotransferase family 1E, estrogen-preferring, member 1	-2.5	-2.5	downregulated
NM_005975.1	PTK6	protein tyrosine kinase 6	-1.6	-1.6	downregulated
NM_024574.1	FLJ23191	hypothetical protein FLJ23191	-1.5	-1.9	downregulated
