Gene	SNP	Locuslink	Cytoband	Description
ABCA4	rs546550	24	1p22.1-p21	ATP-binding cassette, subfamily A member 4
ACYP2	rs2010461	98	2p16.2	Muscle-type acylphosphatase 2
AKAP2	rs723706	11217	9q31-q33	A-kinase anchor protein 2 isoform 2
ALS2CR12	rs1406121	130540	2q33.2	ALS2CR12 gene product
C13orf18	rs1408195	80183	13q14.11	Chromosome 13 open reading frame 18
DNAH8	rs2050180	1769	6p21.31-p21.1	Dynein, axonemal, heavy polypeptide 8
EFA6R	rs1565138	23362	8p23.3	ADP-ribosylation factor guanine nucleotide factor 6
EPHB1	rs1515366, rs1515367	2047	3q21-q23	Ephrin receptor EphB1 precursor
FLJ31810	rs1021447, rs1343456	158038	9p21.1	NA
FLJ34278	rs1316607	283470	12q13.12	NA
FLJ34922	rs938298	91607	17q21.1	NA
GALNT13	rs707077	114805	2q24.1	UDP-N-acetyl-a-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 13
GASC1	rs1340513	23081	9p24	Gene amplified in squamous cell carcinoma 1
GPR158	rs1414045	57512	10p12.31	G protein–coupled receptor 158
GRIN3A	rs942142	116443	9q31.1	Glutamate receptor, ionotropic, N-methyl-D-aspartate 3A
KIAA0802	rs2143267	23255	18p11.22	NA
KIAA1632	rs1075906	57724	18q21.1	NA
LOC374416	rs536215	NA	NA	NA
LOC374699	rs727187	NA	NA	NA
LOC376905	rs1824305, rs1824306	NA	NA	NA
LOC377255	rs38055	NA	NA	NA
MYH3	rs876660, rs876658	4621	17p13.1	Myosin, heavy polypeptide 3, skeletal muscle, embryonic
PACSIN1	rs3845765, rs3800472	29993	6p21.3	Protein kinase C and casein kinase substrate in neurons 1
PGRP-L	rs959117	114770	19q13.2	Peptidoglycan recognition protein L precursor
PIK3C3	rs52911	5289	18q12.3	Phosphoinositide-3-kinase, class 3
PKP4	rs2108217	8502	2q23-q31	Plakophilin 4
PLCB1	rs2143267, rs2889786	23236	20p12	Phosphoinositide-specific phospholipase Ch1 isoform b
RAMP	rs2014029	51514		RA-regulated nuclear matrix-associated protein
SGCD	rs256846	6444	5q33-q34	y-Sarcoglycan isoform 2
SLC9A9	rs956062	285195	3q23	Solute carrier family 9
SYNE1	rs725467	23345	6q25	Nesprin 1 isoform a
UBE2E2	rs778480	7325	3p24.2	Ubiquitin-conjugating enzyme E2E 2
XDH	rs206847	7498	2p23-p22	Xanthine dehydrogenase
