Sequence name	Sequence code	Accession no.	Sequence description	Function
DKFZP586D0919	39986_at	AL050100	Hepatocellularcarcinoma-associated antigen HCA557a	Unknown
GRAMD1B	41559_at	AA434319	GRAM domain containing 1B	Unknown
HYAL3	35540_at	AF040710	Hyaluronidase (LUCA-3) mRNA	Unknown
JRK	37873_g_at	AF072468	Jerky homolog (mouse)	Unknown
LOC221362	37538_at	AL049354	Hypothetical protein LOC221362	Unknown
MAC30	32791_at	L19183	Hypothetical protein MAC30	Unknown
NBEAL2	35763_at	AB011112	Neurobeachin-like 2	Unknown
PHLPPL	32735_at	AB023148	PH domain and leucine rich repeat protein phosphatase-like	Unknown
LAD1	33282_at	U42408	Ladinin 1	Adhesion and extracellular matrix
LAMB3	36929_at	U17760	Laminin, beta 3	Adhesion and extracellular matrix
PLAT	33452_at	M15518	Plasminogen activator, tissue	Adhesion and extracellular matrix
SERPINE1	38125_at	M14083	Serine proteinase inhibitor, clade E (plasminogen activator inhibitor type 1), member 1	Adhesion and extracellular matrix
ST8SIA1	40678_at	X77922	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	Adhesion and extracellular matrix
TPST1	32718_at	AF038009	Tyrosylprotein sulfotransferase 1	Adhesion and extracellular matrix
BCL2L1	34742_at	Z23115	BCL2-like 1	Apoptosis
HTATIP	465_at	U74667	HIV-1 Tat interactive protein, 60 kDa	Apoptosis
AVIL	41582_at	AF041449	Advillin	Cytoskeleton
CAPG	38391_at	M94345	Capping protein (actin filament), gelsolin-like	Cytoskeleton
DLGAP1	40388_at	AB000277	Discs, large (Drosophila) homolog-associated protein 1	Cytoskeleton
SEPT11	33172_at	T75292	Septin 11	Cytoskeleton
TIAM1	37460_at	U16296	T-cell lymphoma invasion and metastasis 1	Cytoskeleton
ACVR2A	35162_s_at	D31770	Activin A receptor, type II	Growth and differentiation
ACVRL1	32714_s_at	L17075	Activin A receptor type II-like 1	Growth and differentiation
CDK7	1969_s_at	X77743	Cyclin-dependent kinase 7 (MO15 homolog, Xenopuslaevis,cdk-activating kinase)	Growth and differentiation
IL12A	33955_at	M65291	Interleukin 12A (cytotoxic lymphocyte maturation factor 1, p35)	Growth and differentiation
MELK	38847_at	D79997	Maternal embryonic leucine zipper kinase	Growth and differentiation
VEGF	36101_s_at	M63978	Vascular endothelial growth factor	Growth and differentiation
ACOX1	40460_s_at	X71440	Acyl-Coenzyme A oxidase 1, palmitoyl	Metabolism
B4GALT4	39432_at	AF038662	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4	Metabolism
GALT	36664_at	M60091	Galactose-1-phosphate uridylyltransferase	Metabolism
MTHFS	39064_at	L38928	5,10-methenyltetrahydrofolate synthetase	Metabolism
PRKAB1	35348_at	AF022116	Protein kinase, AMP-activated, beta 1 noncatalytic subunit	Metabolism
SLC25A1	38998_g_at	X96924	Solute carrier family 25 (citrate transporter), member 1	Metabolism
SLC5A6	35256_at	AL096737	Solute carrier family 5 (sodium-dependent vitamin transporter), member 6	Metabolism
SMS	38792_at	AD001528	Spermine synthase	Metabolism
DUSP2	1292_at	L11329	Dual specificity phosphatase 2	Signaling
GRIA3	35050_at	X82068	Glutamate receptor, ionotrophic, AMPA 3	Signaling
ITPR3	37343_at	U01062	Inositol 1,4,5-triphosphate receptor, type 3	Signaling
PCTK1	1224_at	X66363	PCTAIRE protein kinase 1	Signaling
PVR	32698_at	X64116	PVR gene for poliovirus receptor	Signaling
RAB30	807_at	U57092	RAB30, member RAS oncogene family	Signaling
TNFRSF14	39424_at	U70321	TNF receptor superfamily, member 14	Signaling
TRG@	41468_at	M30894	T-cell receptor gamma locus	Signaling
ELL2	40606_at	U88629	RNA polymerase II elongation factor	Transcription
KLF7	34217_at	AB015132	Kruppel-like factor 7 (ubiquitous)	Transcription
SMAD6	1955_s_at	AF035528	SMAD, mothers against DPP homolog 6 (Drosophila)	Transcription
TSC22D3	36629_at	AI635895	TSC22 domain family, member 3	Transcription
TTF2	37870_at	AF073771	Transcription termination factor, RNA polymerase II	Transcription
EEF1A1	1288_s_at	J04617	Eurkaryotic translation elongation factor 1 alpha 1	Translation
TSR1	40982_at	AA926957	TSR1, 20S rRNA accumualtion, homolog (yeast)	Translation
