Accession	Gene	Patient	Rank	Reproduced†	Size (amino acids)	Chromosome	Protein	Function
NM_001348	DAPK3	A	1	Y	454	19p13.3	Death-associated protein kinase3	Positive regulator of apoptosis
BC013778	SLC7A6OS	A	2	Y	309	16q22.1	Solute carrier family 7 member 6 opposite strand	Uncharacterized
NM_015640	SERBP1	A	4	Y	387	1p31	SERPINE1 mRNA binding protein 1	Regulation of SERPINE1 mRNA stability
BC012596	ARPC4	A	6	—	168	3p25.3	Actin related protein 2/3 complex, subunit 4	Actin filament polymerization
NM_182692	SRPK2	A	8	—	688	7q22-q31.1	SFRS protein kinase 2	Spliceosome assembly and splicing factor trafficking
BC002755	MKNK1	A	9	Y	465	1p33	MAPK-interacting serine/threonine kinase1	MAPK signal integration
NM_018070	SSBP3	A	10	—	368	1p32.3	ssDNAbindingprotein3	Transcriptionregulation
BC038105	MPP7	A	11	—	576	10p11.23	Membrane protein, palmitoylated 7	Localization of proteins to tight junctions
BC027729	N/A	A	12	—	130	3p25.1	N/A	Uncharacterized
NM_004252	SLC9A3R1	A	13	—	358	17q25.1	Solute carrier family 9, isoform 3 regulator 1	Plasma scaffold protein
BC007347	CHD2	A	14	N	501	15q26	Chromodomain helicase	Eukaryotic nucleus organization
NM_032567	SPZ1	A	15	Y	430	5q14.1	Spermatogenic leucine zipper protein 1	Cytokinesis during development; spermatogenesis
BC016848	FAM131C	A	16	Y	280	1p36.13	Family with sequence similarity 131, member C	Hypothetical
BC021092	ZFYVE19	A,B	3,18	Y,Y	328	15q15.1	Zinc finger FYVE domain-containing protein 19	Ubiquitin-protein ligase
NM_145063	C6orf130	A,B	5,19	Y,Y	152	6p21.1	Hypothetical	Uncharacterized
BC006005	MDS032	A,B	7,35	Y,Y	146	19p13.11	Hematopoietic stem/progenitor cell protein	Uncharacterized
BC036910	LOC388882	B	1	Y	240	22q11.23	N/A‡	Possibly nonsensemediated mRNA decay
NM_138333	FAM122A	B	2	Y	287	9q21.11	Family with sequence similarity 122A	Uncharacterized
BC031650	SH3RF2	B	3	N	220	5q32	SH3 domain containing ring finger 2	Ubiquitin conjugation pathway
BC037547	CDC20B	B	4	Y	192	5q11.2	Cell division cycle 20 homologue B	Regulates the anaphase-promoting complex/cyclosome
BC001426	UQCRH	B	5	Y	91	1p33	Ubiquinol-cytochrome c reductase hinge protein	Mitochondrial
BC034401	N/A	B	6	N	71	16	N/A	Uncharacterized
NM_005522	HOXA1	B	7	Y	335	7p15.3	HomeoboxA1	Development transcription regulation
NM_005565	LCP2	B	8	Y	533	5q33.1-qter	Lymphocyte cytosolic protein 2	T-cell antigen receptormediated signaling
BC032919	OGFOD1	B	9	Y	542	16q13	2-Oxoglutarate and iron-dependent oxygenase domain containing 1	Protein metabolism
NM_001722	POLR3D	B	10	Y	398	8q21	DNA-directed RNA polymerase III polypeptide D	RNA polymerase
NM_004401	DFFA	B	11	N	331	1p36.3-p36.2	DNA fragmentation factor 45-kDa ? polypeptide	p53-independent role in chromosome stability
NM_016520	C9orf78	B	12	N	289	9q34.11	Chromosome 9 open reading frame 78	Uncharacterized
NM_006251	PRKAA1	B	13	—	550	5p12	AMP-activated protein kinase catalytic subunit ?-1	Cholesterol and fatty acid biosynthesis
NM_006002	UCHL3	B	14	N	230	13q22.2	Ubiquitin COOHterminal esterase L3	Processing of ubiquitin and ubiquitinated proteins
BC026104	PDCD4	B	15	—	469	10q24	Programmed cell death 4	Inhibits neoplastic transformation
NM_001219	CALU	B	16	N	315	7q32	Calumenin	?Endoplasmic reticulum protein folding/sorting
BC000108	WWP2	B	17	Y	335	16q22.1	WW domain-containing E3 ubiquitin protein ligase 2	Ubiquitination
BC031228	N/A	B	20	Y	79	11	N/A	Uncharacterized
BC047536	SCEL	B	21	N	668	13q22	Sciellin	Precursor to keratinocyte cornified envelope
