Probe Set	GenBank	Symbol	CB-derived MCs	PB-derived MCs	Lung-derived MCs	Ratio 1 (C versus P)	Ratio 2 (C versus P)	Ratio 3 (C versus P)	Ratio 4 (C versus P)	p-Value
201669_s_at	NM_002356.4	MARCKS	13.34	1.11	0.18	12	74.13	6.18	20.59	0.004
203973_s_at	NM_005195.1	KIAA0146	8.34	0.53	0.32	15.89	26.28	1.65	19.7	0.004
205900_at	NM_006121.1	KRT1	21.1	1.89	0.55	11.19	38.72	3.46	17.36	0.004
201670_s_at	M68956.1	MARCKS	4.68	0.41	0.17	11.34	27.94	2.46	16.11	0.004
207980_s_at	NM_006079.1	CITED2	4.41	0.34	0.31	12.88	14.34	1.11	13.52	0.004
203167_at	NM_003255.2	TIMP2	4.8	0.48	0.25	10.1	19	1.88	13.13	0.004
206134_at	NM_014479.1	ADAMDEC1	8.5	0.86	0.78	9.94	10.9	1.1	10.4	0.004
202833_s_at	NM_000295.1	SERPINA1	2.19	0.31	0.16	6.99	13.66	1.95	9.18	0.004
205350_at	NM_004378.1	CRABP1	2.08	0.24	0.3	8.39	6.93	0.83	7.57	0.004
208894_at	M60334.1	HLA-DRA	25.92	7.51	0.17	3.45	152.46	44.2	6.75	0.008
209619_at	K01144.1	CD74	33.88	8.29	2.05	4.09	16.57	4.05	6.56	0.008
202345_s_at	NM_001444.1	FABP5	7.45	1.57	0.73	4.75	10.24	2.15	6.5	0.004
204924_at	NM_003264.1	TLR2	2.19	0.48	0.21	4.58	10.42	2.27	6.39	0.004
222218_s_at	AJ400843.1	PILRA	2.85	0.61	0.31	4.66	9.2	1.98	6.18	0.004
204912_at	NM_001558.1	IL10RA	3.84	0.83	0.44	4.61	8.82	1.91	6.05	0.004
