Accession no.	Gene name	Gene symbol	Average fold change Male 0.5 microgramEE	Average fold change Male 1 microgramEE	Average fold change Male 10 microgramEE	Average fold change Female 0.5 microgramEE	Average fold change Female 1 microgramEE	Average fold change Female 10 microgramEE
AI172247	EST218247, highly homologous to xanthine dehydrogenase	Xdh	1.2	1.3	1.5	A	A	A
AA799760	EST, highly homologous to solute carrier family 2 (facilitated glucose transporter), member 4	Slc2a4	1	1.2	1.5	A	A	A
J02962	IgE binding protein	Lgals3	1.1	1.2	1.4	1.1	1.1	1.1
AI008888	EST, has some homology to cystatin B	Cstb	1.1	1.2	1.3	1.1	1	1
X99470	DAX-1 protein or nuclear receptor subfamily 0, group B, member 1	Nr0b1	-1	-1.1	-1.3	A	A	A
AA894027	EST, Rattus norvegicus		-1.1	-1.1	-1.3	A	A	A
X78848	Glutathione S-transferase (Fischer 344) GST Yc1	Gsta1	-1.1	-1.1	-1.4	A	A	A
M61211	Testicular luteinizing hormone receptor	LHR	-1	-1.1	-1.5	A	A	A
AB016800	7-dehydrocholesterol reductase	Dhcr7	-1.3	-1.1	-1.5	A	A	A
X75253	Phosphatidylethanolamine binding protein	Pbp	-1.1	-1.1	-1.6	-1.1	-1.2	-1.1
K01932	Glutathione-S-transferase, alpha type (Ya)	Gsta1	-1	-1.1	-1.6	A	A	A
AI044488	EST, highly homologous to ferredoxin 1 or adrenodoxin	Fdx1	-1.2	-1.4	-1.8	A	A	A
D89655	Scavenger receptor class B or CD36 antigen (collagen type I receptor, thrombospondin)	Cd36l1	-1.1	-1.2	-2.3	A	A	A
J05156	Cholesterol side-chain cleavage enzyme or cytochrome P450, 11a	Cyp11a	-1.1	-1.3	-2.5	A	A	A
S72505	Glutathione S-transferase Yc1		-1.3	1.5	-2.7	A	A	A
J00713	Carboxypeptidase A1	Cpa1	-1.3	-1.4	-2.7	A	A	A
AB001349	Steroidogenic acute regulatory protein	StAR	-1.1	-1.4	-4	A	A	A
M21208	17-alpha-hydoxylase cytochrome P-450 or cytochrome P450 subfamily XVII (Cyp17)	Cyp17	-1.1	-1.3	-6.9	A	A	A
X01115	Seminal vesicle mRNA for SVS-protein F	Svs5	-1.7	-1.8	-7.9	A	A	A
