Swiss-Port ID	Protein	Description	Fold Change (H1-177 vs. C-100)
Q96B26	EXOSC8	exosome component 8	2.5
Q9UQ80	PA2G4	proliferation-associated 2G4, 38kDa	2
Q05048	CSTF1	cleavage stimulation factor, 3 pre-RNA, subunit 1, 50kDa	2.4
P11940	PABPC1	poly(A) binding protein, cytoplasmic 1	2
Q9UKV3	ACIN1	apoptotic chromatin condensation inducer 1	2.6
Q14137	BOP1	block of proliferation 1	2.3
P22087	FBL	fibrillarin	5.5
P22626	HNRPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1	2.2
Q9Y2X3	NOP5 / NOP58	nucleolar protein NOP5/NOP58	2.4
O60942	RNGTT	RNA guanylyltransferase and 5-phosphatase	5.8
O60231	DHX16	DEAH (Asp-Glu-Ala-His) box polypeptide 16	2
Q12849	GRSF1	G-rich RNA sequence binding factor 1	4.3
Q13427	PPIG	peptidyl-prolyl isomerase G (cyclophilin G)	2.7
Q14493	SLBP	stem-loop (histone) binding protein	2.7
Q8TEQ6	GEMIN5	gem (nuclear organelle) associated protein 5	3.7
P78406	RAE1	RAE1 RNA export 1 homolog (S. pombe)	2.5
P38432	COIL	coilin	3.2
Q15459	SF3A1	splicing factor 3a, subunit 1, 120kDa	-1.9
Q9UBP6	METTL1	methyltransferase-like 1	-2.1
P22061	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase	-3.5
Q9UBU9	NXF1	nuclear RNA export factor 1	-2
