GeneBank Accession No.	Gene	Symbol	Fold Day 10(+)	Fold Liver
S74315	Antigen 1ec-a		0.275	0.517
U58494	Gag		0.296	0.582
AK021267	RIKEN cDNA C530002L11 gene	C530002L11Rik	0.333	0.55
NM_007763	Cysteine rich intestinal protein	Crip	0.344	0.606
NM_009976	Cystatin C	Cst3	0.356	0.587
AB071988	H2A histone family, member Y	H2afy	0.362	0.276
NM_008492	Lactate dehydrogenase 2, B chain	Ldh2	0.362	0.133
AK012563	Annexin A2	Anxa2	0.382	0.646
AK003175	Tropomyosin 1, alpha	Tpm1	0.406	0.711
AY073382	Olfactory receptor MOR258-3	MOR258-3	0.413	0.573
NM_009477	Uridine phosphorylase	Upp	0.413	0.13
NM_015730	Cholinergic receptor, nicotinic, alpha polypeptide 4	Chrna4	0.428	0.794
NM_024427	Tropomyosin 1, alpha	Tpm1	0.436	0.521
AK002214	WW domain-binding protein 5	Wbp5	0.445	0.669
NM_007397	Activin receptor IIB	Acvr2b	0.447	0.313
NM_030598	Down syndrome critical region gene 1-like 1	Dscr1l1	0.452	0.793
NM_022985	Associated with Prkcl1	Awp1-pending	0.453	0.891
BC012446	Unknown protein		0.454	0.68
NM_023409	Niemann Pick type C2	Npc2	0.455	0.372
NM_009760	BCL2/adenovirus E1B 19kDa-interacting protein 1, NIP3	Bnip3	0.458	0.331
NM_008828	Phosphoglycerate kinase 1	Pgk1	0.442	0.156
NM_008471	Keratin complex 1, acidic, gene 19	Krt1-19	0.465	0.382
BC024558	Hypothetical protein MGC37636	MGC37636	0.469	0.752
NM_009426	Thyrotropin-releasing hormone	Trh	0.472	0.53
D86728	Heterogeneous nuclear ribonucleoprotein A1	Hnrpa1	0.483	0.639
NM_010699	Lactate dehydrogenase 1, A chain	Ldh1	0.483	0.573
NM_009811	Caspase 6	Casp6	0.489	0.641
AK005211	RIKEN cDNA 1500011H22 gene	1500011H22Rik	0.489	0.322
AK003007	RIKEN cDNA 0710007A14 gene	0710007A14Rik	0.494	0.644
X1695	Histone h2a		0.497	0.792
