Accession no.	Unigene name	Unigene	Fold
BB828014	Transformation-related protein 53	Trp53	10.8
BG061809	MutShomologue 5 (Escherichia coli)	Msh5	4.4
NM_019690	GNAScomplex locus	Gnas	3.7
NM_010502	IFN alpha family, gene 1	Ifna1	3.6
X06746	Early growth response 2	Egr2	3.6
NM_138648	Oxidized low density lipoprotein (lectin-like) receptor 1	Olr1	3
NM_007784	Casein alpha	Csna	2.9
BB760479	Peroxisome proliferator-activated receptor binding protein	Pparbp	2.7
NM_019404	Arginine vasopressin receptor 2	Avpr2	2.7
NM_007845	Defensin-related cryptdin 6	Defcr6	2.7
NM_015766	EBV-induced gene 3	Ebi3	2.7
NM_013631	Pyruvate kinase liver and RBC	Pklr	2.7
BF020871	BTB (POZ) domain containing 1	Btbd1	2.7
NM_031376	Phosphoinositide-3-kinase adaptor protein 1	Pik3ap1	2.5
BC002065	Serine/cysteine proteinase inhibitor, clade A, member 3G	Serpina3g	2.5
AU067745	ELAV-like 3	Elavl3	-6.1
BC011223	Carbonic anhydrase 1	Car1	-3.5
BB434117	Islet amyloid polypeptide	Iapp	-3.4
AF217002	Two pore channel 1	Tpcn1	-3.3
NM_010775	Mannose binding lectin, liver (A)	Mbl1	-3.1
BC003725	ADP-ribosylation factor-like 4	Arl4	-3.1
AF374470	CD209a antigen	Cd209a	-3
NM_013566	Integrin h7	Itgb7	-2.9
NM_008018	SH3 multiple domain 1	Sh3md1	-2.8
NM_020516	Solute carrier family 16, member 8	Slc16a8	-2.7
U76759	NF of activated T cells, calcineurin-dependent 2 interacting	Nfatc2ip	-2.6
BC018264	Prolactin-induced protein	Pip	-2.6
D50527	Ubiquitin C	Ubc	-2.5
NM_008238	Forkhead box N1	Foxn1	-2.5
NM_027052	Solute carrier family 38, member 4	Slc38a4	-2.5
