CloneID	UGCluster	Symbol	Chromosome	Cytoband	q-value(%)	Log2Rat
810446	Hs.528659	KIAA1522	1	1p35.1	2.226909305	1.1932438
503602	Hs.197922	CaMKIINalpha	1	1p36.12	2.226909305	1.104249
261194	Hs.197922	CaMKIINalpha	1	1p36.12	3.303171318	0.9271292
773138	Hs.197922	CaMKIINalpha	1	1p36.12	4.93672094	1.0045064
298252	Hs.5737	FAM20B	1	1p36.13-q41	1.854503864	1.0797515
298916	Hs.462529	TNFRSF25	1	1p36.2	4.349973098	1.2010396
754028	Hs.7764	KLHL21	1	1p36.31	5.456236233	0.791726
2577145	Hs.200600	SCAMP3	1	1q22	1.568753923	1.3883075
156045	Hs.200600	SCAMP3	1	1q22	2.589307281	1.1411427
153743	Hs.516587	UBE2Q	1	1q21.3	3.904571305	1.1117551
1862628	Hs.133294	IQGAP3	1	1q22	2.226909305	1.4657224
292770	Hs.533597	PYGO2	1	1q22	3.117673027	1.0283446
123278	Hs.193832	GPATC4	1	1q22	3.303171318	1.0136146
298143	Hs.491060	ASH1L	1	1q22	3.904571305	0.9627268
32605	Hs.516746	YAP	1	1q22	4.349973098	0.9272137
782718	Hs.528320	APOA1BP	1	1q22	5.456236233	0.6840589
2577143	Hs.491494	CCT3	1	1q23	4.349973098	1.2314094
2314197	Hs.301904	FLJ12671	1	1q23.1	4.349973098	0.921057
897950	Hs.291196	ATP1B1	1	1q24	4.93672094	1.0994254
293893	Hs.435967	STAF42	1	1q24.1	1.854503864	1.0592029
731376	Hs.496222	RALGPS2	1	1q25.2	4.349973098	0.9497626
1609836	Hs.518525	GLUL	1	1q31	1.854503864	3.6595666
897760	Hs.497039	LAMC1	1	1q31	4.93672094	1.2662089
796469	Hs.5199	HSPC150	1	1q32.1	1.568753923	1.4641938
838829	Hs.443650	JARID1B	1	1q32.1	5.456236233	0.9494248
2301826	Hs.153704	NEK2	1	1q32.2-q41	3.117673027	1.5985551
415089	Hs.153704	NEK2	1	1q32.2-q41	3.303171318	1.3399838
566443	Hs.157078	LOC90806	1	1q32.3	4.349973098	0.7344042
45623	Hs.66170	SMYD2	1	1q41	5.456236233	1.6067817
489489	Hs.435166	LBR	1	1q42.1	2.589307281	1.0324253
2544309	Hs.435166	LBR	1	1q42.1	3.117673027	1.2424884
841287	Hs.498028	GNPAT	1	1q42.11-42.3	5.456236233	0.985727
292232	Hs.63236	MRPL55	1	1q42.13	3.117673027	0.9317953
238907	Hs.118241	CABC1	1	1q42.13	5.456236233	1.002697
190692	Hs.533633	ARID4B	1	1q42.1-q43	2.589307281	0.7602753
245877	Hs.498143	TBCE	1	1q42.3	1.854503864	1.0827752
825585	Hs.498143	TBCE	1	1q42.3	2.589307281	1.0061987
2144799	Hs.552801	KIAA0507	1		1.854503864	1.2764315
126650	Hs.126774	RAMP	1		2.077146398	1.7982457
1555830	Hs.437039		1		3.303171318	1.3760928
813488	Hs.181444	TMEM9	1		5.456236233	0.7842315
177772	Hs.167368	CTNNA2	2	2p12-p11.1	5.456236233	2.4428516
1878917	Hs.310645	RAB1A	2	2p14	4.93672094	0.6610306
752747	Hs.503178	SPTBN1	2	2p21	5.456236233	0.9527641
784005	Hs.542233	SLC30A6	2	2p22.3	3.303171318	0.6995098
293328	Hs.432438	EML4	2	2p22-p21	5.456236233	0.9316857
66694	Hs.358997	TTL	2	2q13	5.456236233	0.7278185
781047	Hs.469649	BUB1	2	2q14	5.456236233	1.2465546
795936	Hs.75066	TSN	2	2q21.1	1.568753923	1.450092
287528	Hs.293185	FLJ39822	2	2q24.3	4.93672094	1.0139946
1554962	Hs.203717	FN1	2	2q34	4.93672094	1.1288368
233277	Hs.203717	FN1	2	2q34	5.456236233	0.9542951
595162	Hs.13640	ROBO1	3	3p12	4.93672094	1.2971983
1049346	Hs.431498	FOXP1	3	3p14.1	1.568753923	1.4913964
279482	Hs.431498	FOXP1	3	3p14.1	1.568753923	1.2483474
950836	Hs.431498	FOXP1	3	3p14.1	1.854503864	1.045219
303099	Hs.58992	SMC4L1	3	3q26.1	3.303171318	0.9480077
282017	Hs.146050		3		5.456236233	0.8533872
752631	Hs.1420	FGFR3	4	4p16.3	5.456236233	1.3384109
378461	Hs.313	SPP1	4	4q21-q25	4.349973098	4.4753974
347036	Hs.555947	LEF1	4	4q23-q25	4.93672094	1.735269
470105	Hs.518921	LOC255743	4	4q24	1.854503864	2.4764032
727526	Hs.75573	CENPE	4	4q24-q25	3.117673027	0.9224139
814701	Hs.28312	MAD2L1	4	4q27	3.117673027	1.163449
1877206	Hs.368587	PRLR	5	5p14-p13	5.456236233	0.7975458
525246	Hs.482077	ITGA2	5	5q23-q31	4.93672094	1.0257467
811740	Hs.482077	ITGA2	5	5q23-q31	4.93672094	1.3228008
1009022	Hs.104210		5		4.349973098	0.8149675
366114	Hs.13366	C6orf151	6	6p24.3	5.456236233	0.7049122
665379	Hs.132340	C6orf85	6	6p25.2	1.854503864	1.058198
244784	Hs.485938	RRAGD	6	6q15-q16	3.303171318	0.8686284
418279	Hs.486401	C6orf173	6	6q22.32	4.349973098	1.1578046
128711	Hs.62180	ANLN	7	7p15-p14	2.589307281	1.290131
297063	Hs.520638	KIAA1856	7	7p22.1	4.93672094	1.0648495
186623	Hs.487341	GNA12	7	7p22-p21	4.349973098	1.0402313
1688951	Hs.134587	GNAI1	7	7q21	5.456236233	0.9190132
592832	Hs.119882	CDK6	7	7q21-q22	4.93672094	1.1721382
2497544	Hs.435302	ZNF3	7	7q22.1	5.456236233	0.74229
415064	Hs.527211		7		4.93672094	1.7373346
1551675	Hs.491611	LOC114926	8	8p11.21	4.349973098	1.079482
133637	Hs.491682	PRKDC	8	8q11	5.456236233	1.1234243
130204	Hs.460184	MCM4	8	8q11.2	3.303171318	1.5432621
80265	Hs.8102	RPS20	8	8q12	3.904571305	1.020193
197374	Hs.436913	CHCHD7	8	8q12.1	3.117673027	1.0972905
183771	Hs.30532	CGI-77	8	8q21.3	4.93672094	0.9687744
278572	Hs.124951	NSE2	8	8q24.21	4.93672094	0.9849012
382451	Hs.304362	PHF20L1	8	8q24.22	5.456236233	0.9205893
842863	Hs.372914	NDRG1	8	8q24.3	1.568753923	1.7525886
810089	Hs.67776	FLJ46072	8	8q24.3	2.226909305	1.6012625
1517595	Hs.184339	MELK	9	9p13.2	4.349973098	1.3245653
244343	Hs.493362	AK3L1	9	9p24.1-p24.3	4.93672094	0.8616259
320571	Hs.308074	C9orf5	9	9q31	1.854503864	1.2752555
624840	Hs.308074	C9orf5	9	9q31	4.93672094	0.8283918
898162	Hs.308074	C9orf5	9	9q31	4.93672094	1.1536423
1660307	Hs.308074	C9orf5	9	9q31	5.456236233	1.2869123
744647	Hs.58488	CTNNAL1	9	9q31.2	5.456236233	1.0047483
379517	Hs.494892	COL27A1	9	9q32	4.93672094	1.0367641
451256	Hs.494997	C5	9	9q33-q34	3.904571305	0.8295288
1473304	Hs.78183	AKR1C3	10	10p15-p14	4.93672094	1.3284878
120162	Hs.448616		10	10q11.21	4.349973098	1.1692028
898286	Hs.334562	CDC2	10	10q21.1	1.854503864	2.1224085
108395	Hs.500245	DLG5	10	10q23	3.117673027	1.1117927
62416	Hs.567973		10		4.349973098	1.0320469
725727	Hs.523816	MGC35521	11	11q13.2	5.456236233	0.7372199
290795	Hs.198853	MGC13204	12	12p13.33	5.456236233	0.747254
1160531	Hs.118681	ERBB3	12	12q13	3.303171318	0.7565057
121251	Hs.103834	MGC5576	12	12q13.1	5.456236233	1.1103697
2488760	Hs.430606	CS	12	12q13.2-q13.3	1.854503864	0.976834
509731	Hs.170563	TM4SF3	12	12q14.1-q21.1	5.456236233	1.9755888
2491271	Hs.173135	DYRK2	12	12q15	4.93672094	0.956097
79761	Hs.11355	TMPO	12	12q22	4.349973098	1.1513552
796624	Hs.172176	LGR5	12	12q22-q23	2.077146398	1.3625351
397488	Hs.129895	TBX3	12	12q24.1	5.456236233	1.503034
1896676	Hs.507227	BRI3BP	12	12q24.31	1.568753923	1.1690653
139705	Hs.28465		13	13q22.1	4.349973098	0.8578019
49227	Hs.508958	STXBP6	14	14q12	2.226909305	1.3883072
700792	Hs.84113	CDKN3	14	14q22	2.589307281	1.8472408
357373	Hs.77695	DLG7	14	14q22.3	4.93672094	1.1139613
501929	Hs.200738	SLC38A6	14	14q23.1	4.349973098	1.0115709
2327739	Hs.511093	NUSAP1	15	15q15.1	2.589307281	1.199231
951241	Hs.511093	NUSAP1	15	15q15.1	4.93672094	0.8682744
292306	Hs.188630	LIPC	15	15q21-q23	4.349973098	1.361087
342640	Hs.81892	KIAA0101	15	15q22.31	5.456236233	1.1412394
812238	Hs.442634	MGC4692	16	16	4.93672094	0.9190848
151261	Hs.237971	XTP3TPA	16	16p11.2	5.456236233	0.7430816
2139448	Hs.460789	TNRC9	16	16q12.1	4.349973098	1.1878299
2298710	Hs.164324	TRIM16	17	17p11.2	5.456236233	2.5214498
2506585	Hs.152978	PSME3	17	17q21	5.456236233	0.8943839
810305	Hs.421622	WIRE	17	17q21.2	4.93672094	0.8344384
2497698	Hs.156346	TOP2A	17	17q21-q22	1.854503864	2.4067057
825470	Hs.156346	TOP2A	17	17q21-q22	2.077146398	1.8561843
768246	Hs.531704	PRKCA	17	17q22-q23.2	2.226909305	1.1003506
826109	Hs.134470	MSI2	17	17q23.2	5.456236233	0.7829575
1585327	Hs.156527	AXIN2	17	17q23-q24	2.226909305	1.494015
786525	Hs.500643	RNF157	17	17q25.1	4.349973098	1.2018075
813675	Hs.37616	STRA13	17	17q25.3	2.226909305	1.6000086
345670	Hs.293274	APCDD1	18	18p11.22	4.93672094	3.7752837
203350	Hs.466184	MAST3	19	19p13.11	3.117673027	1.0011357
845513	Hs.71040	AP1M1	19	19p13.12	5.456236233	0.8363778
647767	Hs.515164	GADD45GIP1	19	19p13.13	3.904571305	0.9949859
462113	Hs.501296	ARID3A	19	19p13.3	5.456236233	2.3592518
1868615	Hs.408567	SLC7A9	19	19q13.1	4.93672094	0.981723
2449343	Hs.179770	PTPRH	19	19q13.4	5.456236233	0.8625127
178805	Hs.516830	C20orf139	20	20p13	3.303171318	1.3701289
789182	Hs.147433	PCNA	20	20pter-p12	4.349973098	1.1380703
769921	Hs.93002	UBE2C	20	20q13.12	1.854503864	2.0268753
146882	Hs.93002	UBE2C	20	20q13.12	4.349973098	1.3189307
431597	Hs.293736	ADNP	20	20q13.13	1.854503864	0.8869001
209066	Hs.250822	STK6	20	20q13.2-q13.3	4.93672094	1.1714364
1630961	Hs.112728	PPM1F	22	22q11.22	4.349973098	0.761696
294133	Hs.134473	ZNRF3	22	22q12.1	1.568753923	1.7092955
205445	Hs.226117	H1F0	22	22q13.1	3.904571305	1.0547062
198855	Hs.528305	DDX17	22	22q13.1	5.456236233	1.1934028
2115602	Hs.153088	TAF1A	?	1q42	2.077146398	0.9273468
739191	Hs.522684	ZNF261	X	Xq13.1	4.349973098	0.8128262
2547040	Hs.194686	SLC25A14	X	Xq24	5.456236233	0.867611
878564	Hs.356794	GPC3	X	Xq26.1	4.349973098	3.503557
877832	Hs.522817	BCAP31	X	Xq28	2.589307281	1.1666153
2568305	Hs.522817	BCAP31	X	Xq28	3.117673027	1.3230771
2566158	Hs.522819	IRAK1	X	Xq28	4.93672094	0.9169742
83011	Hs.282376	RPS4Y1	Y	Yp11.3	4.349973098	1.8870837
380394	Hs.461178	EIF1AY	Y	Yq11.222	3.303171318	1.2882621
305122	Hs.461178	EIF1AY	Y	Yq11.222	5.456236233	1.0821987
358838	Data not found				1.568753923	1.3187589
346944	In multiple clusters				1.854503864	2.1234134
1558853	Data not found				2.226909305	1.0848987
301388	In multiple clusters				2.226909305	1.4453646
266500	Data not found				3.904571305	0.8463816
136073	In multiple clusters				3.904571305	0.8165337
138444	In multiple clusters				4.93672094	1.3120418
854189	Data not found				4.93672094	0.8134432
