Genbank ID	Gene Title	Gene Symbol	5 h                               FC ± SEM	8 d                FC ± SEM	1.5 mos                              FC ± SEM	6 mos                                       FC ± SEM	Gene sequence
BB130995	RAB39, member RAS oncogene family	Rab39	N.C.	-1.6 ± 0.4	N.C.	N.C.	1
AW550283	RAB1, member RAS oncogene family	Rab1	-2.1 ± 0.4	N.C.	N.C.	N.C.	2
BB465250	v-ral simian leukemia viral oncogene homolog B (ras related)	Ralb	N.C.	N.C.	-1.6 ± 0.4	N.C.	3
AB041650	FGFR1 oncogene partner 2	Fgfr1op2	-1.6 ± 0.4	-1.7 ± 0.4	N.C.	N.C.	4
BB121269	RAB27b, member RAS oncogene family	Rab27b	N.C.	-2.2 ± 0.4	-1.5 ± 0.4	N.C.	5
BC016133	RAB7, member RAS oncogene family-like 1	Rab7l1	-2.2 ± 0.4	N.C.	N.C.	N.C.	6
BM241400	RAB19, member RAS oncogene family	Rab19	-2.3 ± 0.4	N.C.	N.C.	N.C.	7
M57697	Yamaguchi sarcoma viral (v-yes-1) oncogene homolog	Lyn	-1.5 ± 0.4	N.C.	N.C.	N.C.	8
NM_007900	ect2 oncogene	Ect2	-1.6 ± 0.4	N.C.	N.C.	N.C.	138
NM_011691	vav 1 oncogene	Vav1	N.C.	N.C.	-1.5 ± 0.4	N.C.	145
NM_025846	related RAS viral (r-ras) oncogene homolog 2	Rras2	-1.8 ± 0.4	N.C.	N.C.	N.C.	9
NM_028238	Rab38, member of RAS oncogene family	Rab38	-1.8 ± 0.4	N.C.	N.C.	N.C.	10
AW556352	V-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)	Erbb4	N.C.	-2.8 ± 0.4	N.C.	N.C.	10
BG069018	Vav 3 oncogene	Vav3	N.C.	-2.8 ± 0.4	N.C.	N.C.	11
AV012102	myeloma overexpressed 2	Myeov2	N.C.	-1.6 ± 0.4	N.C.	N.C.	100
AV290046	candidate tumor suppressor OVCA2		-2.3 ± 0.4	N.C.	N.C.	N.C.	434
AV291679	Ras association (RalGDS/AF-6) domain family 4	Rassf4	-4.0 ± 0.4	N.C.	N.C.	N.C.	435
BB103233	melanoma associated antigen (mutated) 1-like 1	Mum1l1	-1.7 ± 0.4	N.C.	N.C.	N.C.	565
BM207218	squamous cell carcinoma antigen recognized by T cells 2	Sart2	-1.6 ± 0.4	N.C.	N.C.	N.C.	935
AF311316	melanoma antigen, family B, 3	Mageb3	N.C.	-2.7 ± 0.4	N.C.	N.C.	1130
AK003055	breast cancer metastasis-suppressor 1-like	Brms1l	-1.8 ± 0.4	N.C.	N.C.	N.C.	1226
BC011107	retinoblastoma binding protein 9	Rbbp9	-1.6 ± 0.4	N.C.	N.C.	N.C.	1508
BC013564	oral cancer overexpressed 1	Oraov1	-1.8 ± 0.4	N.C.	N.C.	N.C.	1521
NM_008535	lymphoblastomic leukemia	Lyl1	-2.0 ± 0.4	N.C.	-1.5 ± 0.4	N.C.	1751
NM_053201	melanoma antigen, family E, 1	Magee1	-1.5 ± 0.4	N.C.	N.C.	N.C.	1913
AK017541	myeloid/lymphoid or mixed-lineage leukemia	Mll	-1.9 ± 0.4	N.C.	N.C.	N.C.	1338
AF100171	myeloid leukemia factor 1	Mlf1	-1.5 ± 0.4	N.C.	N.C.	N.C.	1182
BG695418	Serologically defined colon cancer antigen 8	Sdccag8	-1.8 ± 0.4	N.C.	N.C.	N.C.	891
BF731393	RIKEN cDNA 2410127E16 gene /// B-cell CLL/lymphoma 11A (zinc finger protein)	2410127E16Rik /// Bcl11a	N.C.	-1.9 ± 0.4	N.C.	N.C.	256
BC019641	B-cell CLL/lymphoma 9	Bcl9	-1.5 ± 0.4	N.C.	N.C.	N.C.	1551
AI505544	B-cell leukemia/lymphoma 2	Bcl2	N.C.	N.C.	-1.6 ± 0.4	N.C.	7
NM_011641	transformation related protein 63	Trp63	N.C.	-2.5 ± 0.5	N.C.	N.C.	8
BB124896	RAB8A, member RAS oncogene family	Rab8a	N.C.	-1.7 ± 0.4	N.C.	N.C.	15
BB033554	Lymphoid enhancer binding factor 1 (Lef1), mRNA	Lef1	N.C.	N.C.	-1.5 ± 0.4	N.C.	40
BB744589	hepatic leukemia factor	Hlf	-3.2 ± 0.4	N.C.	N.C.	-1.6 ± 0.4	55
BG064871	lung carcinoma myc related oncogene 1	Lmyc1	-12.3 ± 0.6	N.C.	N.C.	N.C.	62
BB480970	Pre B-cell leukemia transcription factor 1	Pbx1	-2.3 ± 0.4	-2.8 ± 0.4	N.C.	N.C.	51
AV026617	FBJ osteosarcoma oncogene	Fos	N.C.	N.C.	-2.4 ± 0.4	N.C.	105
AW547821	myeloid ecotropic viral integration site 1	Meis1	-6.8 ± 0.4	N.C.	N.C.	-1.7 ± 0.4	109
BB828014	transformation related protein 53	Trp53	N.C.	N.C.	-1.7 ± 0.4	N.C.	117
BC011513	myeloblastosis oncogene	Myb	-6.3 ± 0.5	N.C.	N.C.	-1.9 ± 0.4	119
U27177	retinoblastoma-like 1 (p107)	Rbl1	-2.4 ± 0.3	N.C.	N.C.	N.C.	174
NM_013838	transient receptor potential cation channel, subfamily C, member 6	Trpc6	-2.2 ± 0.4	N.C.	N.C.	N.C.	164
