Accession no.	Upregulated transcripts in LVH	SLR
BM387112	Transcribed locus	0.9
AI549393	Transcribed locus	0.9
AI639523	Spectrin a1	0.9
AI407930	Protein kinase C and casein kinase substrate in neurons 2	0.8
BI294716	Transcribed locus	0.8
BF285466	Hypothetical protein LOC680259	0.8
U50449	RT1 class I, CE16	0.8
M62763	sterol carrier protein 2	0.7
BG666709	N-myc downstream-regulated gene 4	0.7
AI232036	ATPase, Na+/K+ transporting b-1 polypeptide	0.7
NM_017079	CD1d1 antigen	0.7
AB007688	Homer homolog 1 (Drosophila)	0.7
NM_016986	Acetyl-coenzyme A dehydrogenase, medium chain	0.7
NM_012699	DnaJ (Hsp40) homolog, subfamily B, member 9	0.6
AI138048	Down syndrome critical region gene 1-like 1	0.6
AF367467	Ratsg2	0.6
AI170664	PAP-associated domain-containing 5 (predicted)	0.6
AI230548	Transcribed locus	-1.4
BI295153	Transcribed locus, strongly similar to XP_214980.3	-1.4
NM_031646	Receptor (calcitonin) activity-modifying protein 2	-0.9
AI715202	RT1 class II, locus Bb	-0.8
NM_019170	Carbonyl reductase 1	-0.8
BF555171	Transcribed locus	-0.8
NM_031509	Glutathione S-transferase A3	-0.7
AI411100	Nitrilase family, member 2	-0.7
BI297693	Transcribed locus	-0.7
BI288816	Ras-related GTP-binding D (predicted)	-0.7
AI709531	Similar to cytochrome c oxidase polypeptide VIIa-heart, mitochondrial precursor	-0.6
NM_019174	Carbonic anhydrase 4	-0.6
U31884	Dopa decarboxylase	-0.6
NM_130780	Alcohol dehydrogenase 1 (class I)	-0.6
