Accession	Symbol	Function	Fold change 3 days  (average)	Exp 1	Exp 2	Fold change 8 days  (average)	Exp 1	Exp 2	5 CpG  island (CGI)
X89986	BIK	Apoptosis	6.2	~5.4	~7.0	5.5	~4.4	~6.5	N
U37518	TNFSF10	Apoptosis	12.1	~13.7	10.5	9.4	~10.2	8.6	N
J04080	C1S	Complement component	3.4	~2.7	~4.0	14.6	~9.2	~20.0	N
K02765	C3	Complement component	10.7	~9.0	~12.3	37.7	~36.5	~38.8	N
Z19574	KRT17	Cytokeratin	29.5	~36.2	22.7	33.4	~38.5	28.2	N
M13207	CSF2	Cytokine family	4.7	3.5	5.9	5.7	5.5	5.9	N
M57731	GRO2	Cytokine family	6.6	8.1	5	4.8	5.4	4.2	CGI
U64197	SCYA20	Cytokine family	22	~15.9	~28.1	21.7	~12.8	~30.5	N
M21121	SCYA5	Cytokine family	4.5	3.5	5.4	21.7	~22.2	21.1	N
L37036	SCYB5	Cytokine family	3.5	3.9	3.1	4.6	4.3	4.8	CGI
U83303	SCYB6	Cytokine family	8.4	11.1	5.6	10	13.9	6	N
J03474	SAA1	Cytokine stimulated	12.2	~8.0	~16.3	59.5	~46.8	~72.2	N
U04636	PTGS2 (COX2)	Inflammation	22.9	24.2	21.6	9.9	9.2	10.6	CGI
U22970	G1P3	IFN induced	9.9	~10.4	~9.3	77.6	~71.7	~83.4	N
M24594	IFIT1	IFN induced	4.6	4.6	4.5	16.1	15.5	16.7	N
M14660	IFIT2	IFN induced	4.7	2.2	~7.2	10.3	4.2	~16.4	N
U52513	IFIT4	IFN induced	2.7	3	2.4	8.8	9.9	7.7	N
D28915	MTAP44	IFN induced	2.7	3	2.4	5.6	5.9	5.3	N
M33882	MX1	IFN induced	8.4	8.8	8	27.7	33.3	22	CGI
M30818	MX2	IFN induced	3.3	4.7	1.9	8.8	12.1	5.5	N
X02874	OAS1	IFN induced	5.6	5	6.1	12.6	10.6	14.6	N
M87434	OAS2	IFN induced	4.2	3.8	4.6	8.5	9.3	7.7	N
U53830	IRF7	IFN regulatory factor	3.7	4.1	3.3	6	5.8	6.2	N
Y00081	IL6	Interleukin	21.1	~27.2	15	29.9	~31.9	27.9	N
M24283	ICAM1	Membrane protein (type i)	14.4	~18.0	10.8	12.4	~13.6	11.2	CGI
U70981	IL13RA2	Membrane protein (type i)	4.8	~6.4	3.1	11.6	~13.4	9.7	N
U36501	SP100	Nuclear autoantigen	0.3	1.6	~1	4.1	4.1	4.1	N
L10343	PI3	Protease inhibitor	3.1	1.7	4.5	15.5	12.2	18.8	N
X04470	SLPI	Proteinase inhibitor	9.2	~13.1	5.2	12.2	~18.9	5.5	N
X65965	SOD2	Superoxide dismutase	5.3	5.2	5.3	4.7	4.4	4.9	N
X57579	INHBA	TGF- family	3.4	3.3	3.5	5.2	5	5.3	CGI
M59465	TNFAIP3	TNF- induced	6.3	7.4	5.1	6.1	7	5.2	CGI
M97935	STAT1	Transcription factor	1.9	2	1.7	4.4	4.5	4.3	CGI
U87459	CTAG1	Cancer antigen	7.9	7.1	8.6	10.9	7.5	14.3	CGI
X54925	MMP1	Collagenase	7.4	~5.4	~9.3	27.9	~11.7	~44.1	N
M30703	AREG	Growth factor	8.9	~6.9	~10.9	5.8	~4.8	6.7	CGI
U90551	H2AFL	Histone	4.1	~3.5	~4.6	9.5	~5.5	~13.4	CGI
L19779	H2AFM	Histone	3.2	3	3.3	5.4	5.3	5.4	CGI
Z80780	H2BFH	Histone	2.5	~2.6	2.3	6.9	~7.0	6.8	CGI
AB000115	GS3686	Hypothetical protein	6.4	6.6	6.1	12.3	10.8	13.8	N
M32053	H19	Imprinted gene	10.7	10	11.4	6.6	7.1	6.1	CGI
M80563	S100A4	Malignant suppression	18.5	~15.3	~21.7	12.8	~13.0	12.5	N
X55740	NT5	Membrane protein	1.9	2.4	1.3	5.7	7.3	4.1	CGI
M60278	DTR	Membrane protein (type I)	2.9	2.8	3	6.6	5.3	7.8	CGI
M29277	MCAM	Membrane protein (type I)	3.3	1.4	5.2	18.5	10.3	26.7	CGI
J02973	THBD	Membrane receptor	4.7	~5.8	3.5	6	~5.7	6.2	CGI
U31875	HEP27	Metabolism	0.3	~1.1	1.7	7.9	5.3	10.4	N
U66726	DAZL	RNA binding protein	13.9	~7.1	~20.7	13.6	~7.1	~20.0	?
U25997	STC1	Secreted protein	8.1	~6.5	~9.6	17	~11.0	~23.0	N
U32315	STX3A	Syntaxin family	1.9	~2.1	1.6	4.5	~4.8	4.2	CGI
X04741	UCHL1	Thiol protease	5.1	~2.5	~7.6	17.2	~14.8	~19.6	CGI
X79200	SSX2	Transcription factor	4.7	~3.0	~6.3	11	~4.9	~17.0	N
S82471	SSX3	Transcription factor	6.1	4	~8.2	12.8	6.3	~19.2	N
X99133	LCN2	Transport	4.4	~2.2	~6.5	5.6	~4.3	~6.9	CGI
U19147	GAGE6	Tumor-specific expression	6.1	~3.1	~9.0	21.7	~8.4	~34.9	N
L18877	MAGEA12	Tumor transformation	5.6	4.5	6.6	16.9	14.4	19.4	N
L18920	MAGEA2	Tumor transformation	6.4	~3.2	~9.5	22.6	~14.9	~30.2	CGI
U03735	MAGEA3	Tumor transformation	8.2	~4.3	12	18.5	~7.1	29.8	CGI
U10687	MAGEA4	Tumor transformation	8.1	5.4	~10.8	15.5	5.9	~25.1	N
M31551	PAI2	Urokinase inhibitor	2.6	~1.4	~3.8	43.7	~20.5	~66.8	N
X99699	HSXIAPAF1c	XIAP associated factor	4.9	~6.7	3	9.7	~13.7	5.7	N
