ImageID	Title	Gene	Cluster	Chr	Cytoband	Entrez Gene
36950	Phosphofructokinase, liver	PFKL	Hs.255093	21	21q22.3	5211
36950	Phosphofructokinase, liver	PFKL	Hs.255093	21	21q22.3	5211
173043	Beta-site APP-cleaving enzyme 1	BACE1	Hs.504003	11	11q23.2-q23.3	23621
179776	N/A	N/A	N/A	N/A	N/A	N/A
1505469	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3	PLOD3	Hs.153357	7	7q22	8985
1500000	Histone cluster 1, H2bd	HIST1H2BD	Hs.591797	6	6p21.3	3017
154583	Membrane bound O-acyltransferase domain containing 5	MBOAT5	Hs.655248	12	12p13	10162
1555406	Kelch domain containing 3	KLHDC3	Hs.412468	6	6p21.1	116138
1558164	Phosphodiesterase 4A, cAMP-specific (phosphodiesterase E2 dunce homolog, Drosophila)	PDE4A	Hs.89901	19	19p13.2	5141
859660	Sp4 transcription factor	SP4	Hs.88013	7	7p15.3	6671
45556	MAP/microtubule affinity-regulating kinase 3	MARK3	Hs.35828	14	14q32.3	4140
51293	Aminoacylase 1	ACY1	Hs.334707	3	3p21.1	95
51293	Aminoacylase 1	ACY1	Hs.334707	3	3p21.1	95
491066	Activin A receptor, type I	ACVR1	Hs.470316	2	2q23-q24	90
725109	Growth arrest and DNA-damage-inducible, beta	GADD45B	Hs.110571	19	19p13.3	4616
291985	Solute carrier family 26 (sulfate transporter), member 2	SLC26A2	Hs.648366	5	5q31-q34	1836
771308	Aldehyde dehydrogenase 3 family, member B2	ALDH3B2	Hs.87539	11	11q13	222
36374	Cyclin B1	CCNB1	Hs.23960	5	5q12	891
41356	Protein phosphatase 2, regulatory subunit B, alpha isoform	PPP2R5A	Hs.497684	1	1q32.2-q32.3	5525
2018941	Ribosomal RNA processing 1 homolog (S. cerevisiae)	RRP1	Hs.110757	21	21q22.3	8568
129865	Aurora kinase A	AURKA	Hs.250822	20	20q13.2-q13.3	6790
725454	CDC28 protein kinase regulatory subunit 2	CKS2	Hs.83758	9	9q22	1164
531319	Aurora kinase B	AURKB	Hs.442658	17	17p13.1	9212
2017415	Centromere protein A	CENPA	Hs.1594	2	2p24-p21	1058
786067	Cell division cycle 25 homolog B (S. pombe)	CDC25B	Hs.153752	20	20p13	994
136188	Msh homeobox 1	MSX1	Hs.424414	4	4p16.3-p16.1	4487
744047	Polo-like kinase 1 (Drosophila)	PLK1	Hs.592049	16	16p12.1	5347
826217	GTP binding protein 1	GTPBP1	Hs.276925	22	22q13.1	9567
256664	H2A histone family, member X	H2AFX	Hs.477879	11	11q23.2-q23.3	3014
2018976	Pituitary tumor-transforming 1	PTTG1	Hs.350966	5	5q35.1	9232
856289	Cyclin B2	CCNB2	Hs.194698	15	15q22.2	9133
898062	Full-length cDNA clone CS0DD006YE20 of Neuroblastoma Cot 50-normalized of Homo sapiens (human)	N/A	Hs.494347	9	N/A
