Unigene cluster identification	Accession number	Symbol	Gene	Chromosome	Mb	Fold difference
Mm.18213	AI323791	Tgfb2	Transforming growth factor, beta 2	1	186.261.253	2,229
Mm.313977	AI450664	Pip5k2a	Phosphatidylinositol-4-phosphate 5-kinase, type II, alpha	2	18.898.017	2,118
Mm.105278	AI451740	Kynu	Kynureninase (L-kynurenine hydrolase)	2	43.515.320	2,530
Mm.444	AI326229	Idb1	Inhibitor of DNA binding 1	2	152.799.623	2,332
Mm.360175	AI661472	clone:Y1G0126N06	Mouse-Transcript-ENST:ENSMUST00000029685, based on BLAT search	3		2,313
Mm.26859	AI323309	Gjb5	Gap junction membrane channel protein beta 5	4	125.725.125	2,262
Mm.22478	AI450869	Arid1a	AT rich interactive domain 1A (Swi1 like)	4	132.133.761	2,237
Mm.112	AI323893	Tcea3	Transcription elongation factor A (SII), 3	4	134.705.967	2,239
Mm.29329	AI414274	2810441C07Rik	RIKEN cDNA 2810441C07 gene	4	138.970.787	2,526
Mm.275803	AI451196	4632412I24Rik	RIKEN cDNA 4632412I24 gene	4	149.925.276	2,811
Mm.71361	AI429728	Whsc1	Wolf-Hirschhorn syndrome candidate 2 (human)	5	32.268.838	2,299
Mm.212568	AI450636	AI461788	Expressed sequence AI461788	5	97.768.000	2,471
Mm.63584	AI415691	1110030H18Rik	RIKEN cDNA 1110030H18 gene	5	111.419.399	2,431
Mm.24495	AI414901	Ddx54	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54	5	118.119.239	3,027
Mm.332549	AI413898	E330036I19Rik	RIKEN cDNA E330036I19 gene	5	140.939.132	2,313
Mm.332961	AI426166	AW060220	Expressed sequence AW060220	6	29.339.894	2,663
Mm.246688	AI323840	Ezh2	RIKEN cDNA F830010H11 gene	6	47.515.836	2,235
Mm.22473	AI323670	Rabac1	Rab acceptor 1 (prenylated)	7	13.708.322	2,161
Mm.235700	AI413675	Plekhg2	Pleckstrin homology domain containing, family G (with RhoGef domain) member 2	7	17.324.571	2,172
Mm.4078	AI428398	Mki67	Antigen identified by monoclonal antibody Ki 67	7	123.314.570	2,468
Mm.3741	AI414265	Plekha7	Pleckstrin homology domain containing, family A member 7	7		2,341
Mm.119162	AI323830	Elavl1	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)	8	4.257.803	2,426
Mm.276383	AI661482	Abhd8	Abhydrolase domain containing 8	8	70.490.026	2,421
Mm.354720	AI661491	Gnao1	Guanine nucleotide binding protein, alpha o	8	93.157.175	2,432
Mm.204876	AI426165	Nol3	Nucleolar protein 3 (apoptosis repressor with CARD domain)	8	104.589.715	3,176
Mm.269151	AI450102	Transcribed locus	Transcribed locus	8		2,299
Mm.24178	AI327127	Qtrt1	Queuine tRNA-ribosyltransferase 1	9	21.348.285	2,331
Mm.196371	AI427187	Ccar1	Cell division cycle and apoptosis regulator 1	10	62.510.350	3,104
Mm.23352	AI324135	Suox	Sulfite oxidase	10	128.796.932	2,544
Mm.30720	AI451744	Transcribed locus	Transcribed locus	10		2,495
Mm.43640	AI662093	4921506J03Rik	RIKEN cDNA 4921506J03 gene	10		2,185
Mm.192580	AI426955	Rtn4	Reticulon 4	11	29.588.509	2,472
Mm.251013	AI323858	Kpnb1	Karyopherin (importin) beta 1	11	96.830.837	2,343
Mm.23685	AI661251	AI315037	Myeloid/lymphoid or mixed lineage-leukemia translocation to 6 homolog (Drosophila)	11	97.356.201	2,669
Mm.297761	AI413436	BC006965	CDNA sequence BC006965	11	112.335.056	3,092
Mm.20865	AI324871	Thbs4	Thrombospondin 4	13	89.475.140	2,877
Mm.12929	AI465200	Transcribed locus	strongly similar to NP_034340.1 fragile histidine triad gene [Mus musculus]	14	5.988.434	2,118
Mm.17853	AI662235	AU045404	Similar to potassium channel regulator 1	15	90.625.355	2,639
Mm.2131	AI413867	Ela1	Elastase 1, pancreatic	15	101.141.864	2,184
Mm.1078	AI447487	Transcribed locus	weakly similar to XP_486216.1 hypothetical protein D930036J05 [Mus musculus]	15		2,346
Mm.287795	AI447566	Gtf2e1	General transcription factor II E, polypeptide 1 (alpha subunit)	16	37.364.257	2,510
Mm.329096	AI426093	Gene model 939	Gene model 939, (NCBI)	17		2,999
Mm.24614	AI426316	Gene model 1610	Gene model 1610, (NCBI)	17		2,890
Mm.9935	AI426019	E130310N06	Hypothetical protein E130310N06	17		3,082
Mm.3460	AI661134	Cd14	CD14 antigen	18	37.168.500	2,853
Mm.32269	AI450096	Ppargc1b	Peroxisome proliferative activated receptor, gamma, coactivator 1 beta	18	61.814.138	2,608
Mm.20298	AI324084	Grp	Gastrin releasing peptide	18	66.403.224	2,130
Mm.206774	AI661461	Cpn1	Carboxypeptidase N, polypeptide 1	19	43.292.965	2,310
Mm.268532	AI661820	1110007H17Rik	Pleckstrin and Sec7 domain containing	19	45.652.679	2,550
Mm.358892	AI666771	Dhrsx	Dehydrogenase/reductase (SDR family) X chromosome	Unknown		2,625
Mm.2756	AI426113	Hmgn1	Hypothetical gene supported by AK080436	Unknown		2,409
