Gene symbol	Gene name	P-value sub-group of survivors	P-value survivors
SCYL2	SCY1-like 2 (S. cerevisiae)	<0.001	0.101
PSMA7	Proteasome (prosome macropain) subunit alpha type 7	<0.001	0.105
JUND	Jun D proto-oncogene	<0.001	0.064
CALR	Calreticulin	<0.001	0.147
HIST2H2AA	Histone?2. H2aa	<0.001	0.064
CST3	Cystatin C?(amyloid?angiopathy?and?cerebral haemorrhage)	<0.001	0.064
CAPG	Capping protein (actin filament) gelsolin-like	<0.001	0.101
BCL2L11	BCL2-like 11 (apoptosis facilitator)	<0.001	0.112
C6orf106	Chromosome 6?open reading frame 106	<0.001	0.097
HIST2H4	Histone?2. H4	0.001	0.064
DNAJB11	DnaJ (Hsp40) homolog subfamily B member 11	0.001	0.097
SLC2A4RG	SLC2A4 regulator	0.001	0.097
G1P2	Interferon alpha-inducible protein (clone IFI-15K)?	0.001	0.179
TCF3	Transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	0.001	0.167
KLHDC3	Kelch domain containing 3	0.001	0.064
HIST1H2BM	Histone?1. H2bm	0.001	0.129
MGC10433	Hypothetical protein?MGC10433	0.001	0.064
KLHL24	Kelch-like 24 (Drosophila)	0.001	0.097
FADS2	Fatty acid desaturase 2	0.001	0.196
HIST1H2AJ	Histone?1. H2aj	0.001	0.151
C1QG	Complement component 1. q subcomponent. gamma?polypeptide	0.002	0.101
TP53I11	Tumour protein?p53 inducible protein?11	0.002	0.198
MAFB	V-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	0.002	0.175
HIST1H2AM	Histone 1, H2am	0.002	0.127
CENPF	Centromere protein F?(350/400 kD?mitosin)	0.002	0.113
RALA	V-ral simian?leukaemia?viral oncogene?homolog A (ras?related)	0.002	0.199
SNRPB	Small nuclear ribonucleoprotein polypeptides B and B1	0.002	0.064
RHEB2	Ras homolog enriched in brain 2	0.002	0.199
UBL5	Ubiquitin-like 5	0.003	0.101
MFAP2	Microfibrillar-associated protein 2	0.003	0.121
SERPING1	Serpin peptidase inhibitor. clade G (C1 inhibitor). member 1. (angioedema. hereditary)	0.003	0.127
PEPD	Peptidase D	0.003	0.199
FMNL3	Formin-like 3	0.003	0.157
NDUFB9	NADH dehydrogenase (ubiquinone) 1 beta subcomplex 9?22kD	0.003	0.131
PRAME	Preferentially expressed antigen in melanoma	0.004	0.064
TROAP	Trophinin associated protein?(tastin)	0.005	0.101
SPINT2	Serine?peptidase inhibitor Kunitz type 2	0.006	0.101
HMG4L	High-mobility group (non-histone?chromosomal) protein 4-like	0.007	0.157
PLD3	Phospholipase D?family. member 3	0.008	0.171
PSMC4	Proteasome (prosome macropain) 26S subunit ATPase 4	0.009	0.111
GCDH	Glutaryl-Coenzyme A dehydrogenase	0.011	0.085
SATB2	SATB family member 2	0.011	0.151
EIF3S12	Eukaryotic translation initiation factor 3. subunit 12	0.015	0.196
ALPL	Alkaline phosphatase liver/bone/kidney	0.042	0.064
EVI1	Ecotropic viral integration site 1	0.044	0.157
