HG-U133A	Gene	Localization	GenBank	Description	Function
204787_AT	Z39IG	NM_007268	Xq12-q13.3	Immunoglobulin superfamily protein	Hemato-specific molecules
207167_AT	IGSF2	NM_004258	1p13	Immunoglobulin superfamily, member 2	Hemato-specific molecules
217078_S_AT	IRC1	AJ010102	17	Leukocyte membrane antigen	Hemato-specific molecules
205686_S_AT	CD86	NM_006889	3q21	CD86 antigen	Hemato-specific molecules
210889_S_AT	FCGR2B	M31933	1q23	Receptor for CD32	Hemato-specific molecules
211661_X_AT	PTAFR	M80436	1p35-p34.3	Platelet-activating factor receptor	Hemato-specific molecules
221223_X_AT	CISH	NM_013324	3p21.3	Cytokine-inducible SH2-containing protein	Hemato-specific molecules
221724_S_AT	CLECSF6	AF200738	12p13	C-type lectin, superfamily member 6	Signal transduction
204037_AT	EDG2	AW269335	9q31.3-9q34.11	Lysophosphatidic acid G protein–coupled receptor 2	Signal transduction
220005_AT	GPR86	NM_023914	3q24	G protein–coupled receptor 86	Signal transduction
200878_AT	EPAS1	AF052094	2p21	Endothelial PAS domain protein 1	Transcription
210443_X_AT	OGFR	AF172452	20q13.3	Opioid growth factor receptor	Cell growth
212298_AT	NRP1	BE620457	10p12	Neuropilin1	Cell growth
204751_X_AT	DSC2	NM_004949	18q12.1	Desmocollin2	Membrane
209921_AT	hxCT	AB040875	4	Cysteine/glutamate exchanger	Transport
221584_S_AT	KCNMA1	U11058	10q22	Potassium large-conductance calcium-activated channel M alpha1	Transport
217383_AT	PGK1	S81916		Phosphoglycerate kinase 1	Metabolism
117_AT	HSP70B	X51757	1cen-qter	Heat-shock protein HSP70B	Unclassified
212169_AT	FKBP63	AL050187	7	FK506-binding protein 9	Unclassified
205743_AT	STAC	NM_003149	3p22.3	Stac protein (Src homology three [SH3] and cysteine-rich domain)	Unclassified
212663_AT	KIAA0674	AB014574	9	Hypothetical protein KIAA0674	Hypothetical proteins
