Gene symbol	Gene	Implicated role
AGR2	Anterior gradient 2 homolog	Cancer cell survival
APOL6	Apolipoprotein l, 6	Cancer cell apoptosis
CEACAM1	Carcinoembryonic antigen-related cell adhesion molecule 1	Tumor suppressor
CSF1	Colony stimulating factor 1	Cancer progression
CX3CR1	Chemokine (C–X3–C motif) receptor 1	Cell migration/survival
DKK1	Dickkopf homolog 1	Tumor suppressor
ERRFI1	erbb receptor feedback inhibitor 1	Tumor suppressor
FGF2	Fibroblast growth factor 2	Cell survival/metastasis
FYN	fyn oncogene related to src, fgr, yes	Oncogene
GPC3	Glypican 3	Tumor suppressor
MCC	Mutated in colorectal cancers	Tumor suppressor
NR0B2	Nuclear receptor subfamily 0, group b, member 2	Tumor suppressor
NRCAM	Neuronal cell adhesion molecule	Cancer progression
PAK1	p21/cdc42/rac1-activated kinase 1	Oncogene
PAWR	prkc, apoptosis, wt1, regulator	Tumor suppressor
PLAGL1	Pleiomorphic adenoma gene-like 1	tumor suppressor
PTPRJ	Protein tyrosine phosphatase, receptor type, j	Tumor suppressor
SGK	Serum/glucocorticoid-regulated kinase 1	Oncogene
TIMP3	TIMP metallopeptidase inhibitor 3	Tumor suppressor
TMEFF1	Transmembrane protein w/ egf-like and two follistatin-like domains 1	Tumor suppressor
VCAN	Chondroitin sulfate proteoglycan 2 (versican)	Metastasis
WT1	Wilms tumor 1	Tumor suppressor
