Symbol	Genes	Genbank accession no.	Mean
RBP2	Retinoblastoma-binding protein 2	S66431.1	2.012
PKB	Protein kinase B	X61037.1	2.024
FGF-9	Fibroblast growth factor 9	D14838.1	2.035
Grb14	Grb14	L76687.1	2.035
VCAM-1	Vascular cell adhesion molecule 1 (VCAM-1)	X53051.1	2.035
IL18	Interleukin 18 (IFN-?–inducing factor)	NM_001562.2	2.047
HOX-11	Homeobox protein (HOX-11)	M75952.1	2.055
bcl-w	Gi|1572492|gb|U59747.1|HSU59747 Human Bcl-w (bcl-w) mRNA, complete cds	U59747.1	2.074
IGFBP-5	Insulin-like growth factor binding protein 5	M62782.1	2.081
Clk2	Clk2	L29216.1	2.098
NIK	Serine/threonine protein kinase	Y10256.1	2.106
p68K	p68 kinase	M35663.1	2.112
IGF-II	Human insulin–like growth factor II	M29645.1	2.121
GALNAC4S-6ST	B-cell RAG-associated protein	NM_014863.1	2.128
FGF-10	FGF-10	AB002097.1	2.129
FRA-2	Human fra-2	X16706.1	2.134
FASL	Fas ligand	D38122.1	2.146
PDGF	Platelet-derived growth factor A-chain	A09204.1	2.158
E1A-F	E1A-F	D12765.1	2.163
c-myc	c-myc	D89667.1	2.167
hTRIP	hTRIP (hTRIP)	U77845.1	2.185
CALM2	Calmodulin 2 (phosphorylase kinase, ?)	NM_001743.3	2.207
PUMP-1	PUMP-1 gene encoding PUMP	Z11887.1	2.207
Bcl2	Bcl2, p53-binding protein Bbp/53BP2 (BBP/53BP2)	U58334.1	2.207
MKK6	MAP kinase kinase 6	U39657.1	2.218
JNK3A1	NK3 ?1 protein kinase	U34820.1	2.242
pS2	pS2 mRNA induced by estrogen from human breast cancer cell line MCF-7	X00474.1	2.273
ICAM-2	ICAM-2, cell adhesion ligand for LFA-1	X15606.1	2.276
CREM	Cyclic AMP-responsive element modulator (CREM)	S68271.1	2.289
Humig	Humig	X72755.1	2.289
NFAT1	Transcription factor NFAT1 isoform C (NFAT1)	U43342.1	2.289
SFPQ	Splicing factor proline/glutamine–rich (polypyrimidine tract binding protein associated; SFPQ)	NM_005066.1	2.302
N-CoR	Nuclear receptor corepressor	AF044209.1	2.333
IGFBP3	Growth factor-binding protein-3 precursor (IGFBP3)	M35878.1	2.359
IRF-1	IFN regulatory factor 1	X14454.1	2.4
IL-11R	Interleukin-11 receptor	Z38102.1	2.417
hsp70	Heat shock protein 70 (hsp70)	L12723.1	2.424
bcl-3	B-cell lymphoma 3-encoded protein (bcl-3)	M31732.1	2.441
FAS/Apo 1	FAS/Apo 1 mRNA for FAS soluble protein (clone FAS Exo4Del)	Z70519.1	2.471
HSP75	Homo sapiens mitochondrial HSP75	L15189.1	2.481
ICE-LAP6	Cysteine protease ICE-LAP6	U56390.1	2.485
G0S8	Helix-loop-helix basic phosphoprotein	L13463.1	2.487
HEK2	HEK2 mRNA for protein tyrosine kinase receptor	X75208.1	2.493
ERK2	40 kDa protein kinase related to rat ERK2	Z11695.1	2.503
KIAA0347	KIAA0347	AB002345.2	2.504
APAF1	Apoptotic protease–activating factor (APAF1), transcript variant 2	NM_001160.2	2.513
TRA1	Tumor rejection antigen (gp96) 1	NM_003299.1	2.574
TNF	Tumor necrosis factor superfamily member LIGHT	AF036581.1	2.582
FGF-5	Fibroblast growth factor-5 (FGF-5)	M37825.1	2.616
PPAR	Peroxisome proliferator–activated receptor	L02932.1	2.616
TIPM3	Tissue inhibitor of metalloproteinases-3	U14394.1	2.628
Mch3	Mch3 isoform ?(Mch3)	U37448.1	2.698
PTPRZ	Protein tyrosine phosphatase ?-polypeptide (PTPRZ)	M93426.1	2.698
RPGR	Retinitis pigmentosa GTPase regulator (RPGR)	NM_000328.1	2.741
ENO3	Enolase 3, (?, muscle; ENO3), transcript variant 1	NM_001976.2	2.754
NFKB1	Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105; NFKB1)	NM_003998.2	2.761
HRK	Activator of apoptosis Hrk (HRK)	U76376.1	2.774
IFITM3	IFN-induced transmembrane protein 3 (1-8U; IFITM3)	NM_021034.1	2.882
IL15RA	Interleukin-15 receptor ?chain precursor (IL15RA)	U31628.1	2.918
AMPD2	AMP deaminase 2 (isoform L; AMPD2)	NM_004037.5	2.989
DNAJA1	DnaJ (Hsp40) homologue, subfamily A, member 1	NM_001539.1	3.184
HLA-C	MHC class I HLA-C allele HLA-4	M11886.1	3.265
IFN-?	IFN-?	X13274.1	3.27
p53	p53 cellular tumor antigen	M14694.1	3.301
HLA-B	MHC, class I	NM_005514.4	3.374
CHED	cdc2-related protein kinase	M80629.1	3.686
GADD45	Gadd45	S40706.1	3.694
BPAG1	Bullous pemphigoid antigen 1, 230/240kDa (BPAG1), transcript variant 1e, mRNA	NM_001723.3	3.793
ISGF-3	Transcription factor ISGF-3	M97936.1	3.938
TGFR	Transforming growth factor-?type III receptor	L07594.1	4.341
MC4R	Melanocortin 4 receptor	NM_005912.1	10.821
