gene symbol	chromosome location	Entrez ID	U133A ID	U133A Cox P value	100K Array SNP ID (SNP_A-)	SNP Cox P value	gain or loss (1=gain; -1=loss)	gene expression & copy number correlation	diploid copy number estimate	copy number cutoff	description
SMC4	3q26.1	10051	201664_at	0.0001	1706664	0.0001	1	0.519	2.176	3.676	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)
PDCD10	3q26.1	11235	210907_s_at	0.0101	1753577	0.0115	1	0.756	2.108	3.608	programmed cell death 10
PREP	6q22	5550	204117_at	0.0288	1692699	0.0116	1	0.722	2.133	3.633	prolyl endopeptidase
CBX3	7p15.2	11335	201091_s_at	0.0058	1674739	0.0003	1	0.585	2.187	3.687	chromobox homolog 3 (HP1 gamma homolog, Drosophila)
NUP205	7q33	23165	212247_at	0.0093	1657909	0.0004	1	0.576	2.153	3.653	nucleoporin 205kDa
TCEB1	8q21.11	6921	202823_at	0.0153	1684065	0.0079	1	0.653	2.348	3.848	transcription elongation factor B (SIII), polypeptide 1 (15kDa, elongin C)
TERF1	8q13	7013	203448_s_at	0.042	1745614	0.0061	1	0.801	2.729	4.229	telomeric repeat binding factor (NIMA-interacting) 1
TPD52	8q21	7163	201690_s_at	0.0048	1665579	0.019	1	0.624	1.904	3.404	tumor protein D52
GGH	8q12.3	8836	203560_at	0.0215	1682989	0.0143	1	0.528	2.011	3.511	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)
TRAM1	8q13.3	23471	201398_s_at	0.0066	1695245	0.0133	1	0.618	2.211	3.711	translocation associated membrane protein 1
ZBTB10	8q13-q21.1	65986	219312_s_at	0.0003	1656394	0.005	1	0.674	2.027	3.527	zinc finger and BTB domain containing 10
YTHDF3	8q12.3	253943	221749_at	0.0056	1719283	0.009	1	0.62	1.922	3.422	YTH domain family, member 3
EIF3E	8q22-q23	3646	208697_s_at	0.0306	1689974	0.0149	1	0.544	2.106	3.606	eukaryotic translation initiation factor 3, subunit 6 48kDa
POLR2K	8q22.2	5440	202634_at	0.037	1642344	0.0235	1	0.694	2.216	3.716	polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa
RPL30	8q22	6156	200062_s_at	0.0498	1747204	0.0185	1	0.698	2.227	3.727	ribosomal protein L30
CCNE2	8q22.1	9134	205034_at	0.0013	1659515	0.028	1	0.527	2.241	3.741	cyclin E2
RAD54B	8q21.3-q22	25788	219494_at	0.019	1663487	0.0354	1	0.692	1.954	3.454	RAD54 homolog B (S. cerevisiae)
MTERFD1	8q22.1	51001	219363_s_at	0.0291	1717843	0.0174	1	0.788	2.45	3.95	MTERF domain containing 1
ENY2	8q23.1	56943	218482_at	0.0128	1675508	0.0088	1	0.775	2.009	3.509	enhancer of yellow 2 homolog (Drosophila)
DPY19L4	8q22.1	286148	213391_at	0.0001	1727257	0.0091	1	0.58	1.979	3.479	dpy-19-like 4 (C. elegans)
ZNF623	8q24.3	9831	206188_at	0.0005	1695955	0.0121	1	0.618	1.837	3.337	zinc finger protein 623
SCRIB	8q24.3	23513	212556_at	0.0323	1695955	0.0121	1	0.735	1.837	3.337	scribbled homolog (Drosophila)
SLC39A4	8q24.3	55630	219215_s_at	0.0056	1695955	0.0121	1	0.64	1.837	3.337	solute carrier family 39 (zinc transporter), member 4
ATP6V1G1	9q32	9550	208737_at	0.0499	1712044	0.0066	1	0.518	2.214	3.714	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G1
TCTN3	10q23.33	26123	212123_at	-0.03	1647197	-0.0179	-1	0.577	2.288	1.788	chromosome 10 open reading frame 61
PSMA6	14q13	5687	208805_at	0.0053	1739239	0.0265	1	0.616	2.226	3.726	proteasome (prosome, macropain) subunit, alpha type, 6
STRN3	14q13-q21	29966	204496_at	0.002	1657718	0.0021	1	0.503	2.122	3.622	striatin, calmodulin binding protein 3
CLTC	17q11-qter	1213	200614_at	0.0011	1665731	0.0096	1	0.883	1.939	3.439	clathrin, heavy polypeptide (Hc)
TRIM37	17q23.2	4591	213009_s_at	0.0036	1740610	0.0025	1	0.781	2.555	4.055	tripartite motif-containing 37
NME1	17q21.3	4830	201577_at	0.0478	1735518	0.0006	1	0.812	1.805	3.305	non-metastatic cells 1, protein (NM23A) expressed in
NME2	17q21.3	4831	201268_at	0.0422	1665752	0.0002	1	0.743	1.624	3.124	non-metastatic cells 2, protein (NM23B) expressed in
RPS6KB1	17q23.1	6198	204171_at	0.0002	1665339	0.0028	1	0.758	2.027	3.527	ribosomal protein S6 kinase, 70kDa, polypeptide 1
PPM1D	17q23.2	8493	204566_at	0.0015	1738127	0.0035	1	0.85	2.049	3.549	protein phosphatase 1D magnesium-dependent, delta isoform
MED13	17q22-q23	9969	201987_at	0.0001	1758346	0.0042	1	0.778	2.164	3.664	thyroid hormone receptor associated protein 1
