Gene name or Affymetrix ID	Gene symbol	UniGene ID	? 	Range of gene expression	P
Cytochrome P450, family 2, subfamily B, polypeptide 7 pseudogene 1	CYP2B7P1	Hs.529117	1.191	3.78	0.000683
EPH receptor B1	EPHB1	Hs.116092	1.462	2.32	0.000807
CDC14 cell division cycle 14 homologue B (S. cerevisiae)	CDC14B	Hs.40582	1.499	2.54	0.000919
Myelin basic protein	MBP	Hs.501262	1.514	2.42	0.000466
CDNA FLJ11433 fis, clone HEMBA1001121	—	Hs.311790	1.529	2.5	0.000677
Glutamate receptor, ionotropic, N-methyl D-aspartate 1	GRIN1	Hs.495496	1.54	2.12	0.000892
UDP glucuronosyltransferase 2 family, polypeptide B28	UGT2B28	Hs.137585	1.634	2.23	0.000887
Nuclear receptor subfamily 4, group A, member 3	NR4A3	Hs.279522	1.646	2.54	0.000249
MAS1 oncogene	MAS1	Hs.99900	1.696	2.33	0.000389
Stanniocalcin 2	STC2	Hs.233160	1.701	2.11	0.00062
Solute carrier family 29 (nucleoside transporters), member 1	SLC29A1	Hs.25450	1.702	1.9	0.000946
Cell division cycle 25C	CDC25C	Hs.656	1.737	1.98	0.000683
BCL2-associated X protein	BAX	Hs.159428	1.743	2	0.000951
Sex determining region Y (SRY)-box 2	SOX2	Hs.518438	1.744	2.27	0.000949
Myosin phosphatase-Rho interacting protein	M-RIP	Hs.462341	1.748	2.27	0.000517
CMT1A duplicated region transcript 1	CDRT1	Hs.454698	1.783	2.02	0.000925
Zona pellucida glycoprotein 2 (sperm receptor)	ZP2	Hs.73982	1.791	2.84	0.000167
Dystonin	DST	Hs.485616	1.796	2.51	0.000906
Postmeiotic segregation increased 2-like 11	PMS2L11	—	1.817	2.1	0.000299
Early growth response 4	EGR4	Hs.549031	1.832	1.86	0.000848
Glycosyltransferase-like domain containing 1	GTDC1	Hs.44780	1.871	2.25	0.000215
Transforming growth factor, ?	TGFA	Hs.170009	1.927	2.1	0.000192
CDNA: FLJ22812 fis, clone KAIA2955	—	Hs.540193	1.929	1.88	0.00022
Cell death-inducing DFFA-like effector c	CIDEC	Hs.375023	1.943	1.98	0.000609
216732_at	—	—	1.946	2.14	0.000981
Basic leucine zipper nuclear factor 1 (JEM-1)	BLZF1	Hs.494326	1.957	2.14	0.000122
Transmembrane and coiled-coil domains 2	TMCC2	Hs.6360	1.96	2.06	0.000261
Tudor domain containing 1	TDRD1	Hs.333132	1.977	2.04	0.000694
Myosin IB	MYO1B	Hs.439620	1.979	1.87	0.000062
Hypothetical protein FLJ10770	KIAA1579	Hs.207538	1.984	2.09	0.000832
Receptor (calcitonin) activity modifying protein 3	RAMP3	Hs.25691	2	1.89	0.00073
Atrophin-1 interacting protein 1	AIP1	Hs.488945	2.016	2.04	0.000117
Tubulin, ?4	TUBB4	Hs.110837	2.023	2.25	0.000069
Dopachrome tautomerase	DCT	Hs.301865	2.055	1.94	0.000392
ATPase, H+/K+transporting, nongastric, ? polypeptide	ATP12A	Hs.147111	2.091	1.82	0.000997
Natriuretic peptide precursor B	NPPB	Hs.219140	2.12	1.76	0.000988
Ret proto-oncogene	RET	Hs.350321	2.128	2.21	0.00005
Tenascin XB	TNXB	Hs.485104	2.136	1.8	0.000735
Met proto-oncogene	MET	Hs.132966	2.176	1.7	0.000638
Inhibin, ? B (activin AB ? polypeptide)	INHBB	Hs.1735	2.179	1.8	0.000747
Fragile X mental retardation 2	FMR2	Hs.496911	2.19	1.85	0.000082
Serine (or cysteine) proteinase inhibitor, clade A member 7	SERPINA7	Hs.76838	2.201	1.87	0.000167
Adenylate cyclase 2 (brain)	ADCY2	Hs.481545	2.214	2	0.000095
Solute carrier family 16 member 3	SLC16A3	Hs.500761	2.226	2.04	0.000021
Ca2+-dependent secretion activator	CADPS	Hs.127013	2.228	1.82	0.000695
Zinc finger protein, subfamily 1A, 1 (Ikaros)	ZNFN1A1	Hs.435949	2.23	1.8	0.000952
Interleukin (IL)-9 receptor	IL9R	Hs.549348	2.231	1.73	0.000888
C-reactive protein, pentraxin related	CRP	Hs.76452	2.245	2.06	0.000959
Zinc finger and BTB domain containing 7A	ZBTB7A	Hs.465623	2.246	2.03	0.000012
Breast carcinoma amplified sequence 3	BCAS3	Hs.463702	2.252	1.88	0.000006
ATP synthase, H+transporting, mitochondrial F0 complex, subunit c (subunit 9), isoform 2	ATP5G2	Hs.524464	2.275	1.71	0.000774
1-acylglycerol-3-phosphate O-acyltransferase 3	AGPAT3	Hs.248785	2.331	1.65	0.000655
Solute carrier family 22 member 1-like antisense	SLC22A1LS	Hs.300076	2.336	1.63	0.000653
Tansmembrane protease, serine 5 (spinesin)	TMPRSS5	Hs.46720	2.337	1.72	0.00018
PR domain containing 10	PRDM10	Hs.275086	2.348	1.72	0.000192
Myotubularin-related protein 3	MTMR3	Hs.474536	2.357	1.99	0.000373
Ubiquitin-specific protease 7	USP7	Hs.386939	2.363	1.86	0.000667
Methylthioadenosine phosphorylase	MTAP	Hs.193268	2.38	1.72	0.000073
Discs, large homologue 3	DLG3	Hs.522680	2.381	1.79	0.000267
Cadherin 9, type 2	CDH9	Hs.272212	2.385	1.91	0.00022
Uridine monophosphate synthetase	UMPS	Hs.2057	2.392	1.74	0.000254
Orosomucoid 2	ORM2	Hs.522356	2.433	1.66	0.00067
Gem-associated protein 7	GEMIN7	Hs.466919	2.457	1.65	0.000392
216812_at	—	—	2.461	1.68	0.000082
Hydroxysteroid (11-?) dehydrogenase 1	HSD11B1	Hs.195040	2.464	1.7	0.000523
Hypothetical gene supported by BC040718	—	Hs.141055	2.466	1.72	0.000437
Cytokine-induced protein 29 kDa	CIP29	Hs.505676	2.467	1.97	0.000085
Transmembrane protein SHREW1	SHREW1	Hs.25924	2.497	1.89	0.00032
Rheumatoid arthritis synovium immunoglobulin heavy chain variable region	—	Hs.535413	2.497	1.7	0.000464
Solute carrier family 10 member 2	SLC10A2	Hs.194783	2.499	1.91	0.000427
collagen, type I, ?1	COL1A1	Hs.172928	2.511	1.64	0.000243
Minor histocompatibility antigen HB-1	HB-1	Hs.158320	2.52	1.88	0.000756
Steroid-5-?-reductase, ? polypeptide 2	SRD5A2	Hs.458345	2.533	1.7	0.000742
Hypothetical protein FLJ20184	FLJ20184	Hs.272787	2.536	2.12	0.00004
Cannabinoid receptor 2	CNR2	Hs.73037	2.553	1.87	0.00017
Chemokine-like receptor 1	CMKLR1	Hs.506659	2.595	1.73	0.00016
Amyloid ? (A4) precursor protein-binding, family B, member 2 (Fe65-like)	APBB2	Hs.479602	2.595	1.7	0.000136
Glycoprotein 2	GP2	Hs.53985	2.601	1.68	0.000268
G protein-coupled receptor 15	GPR15	Hs.159900	2.601	1.54	0.00034
Caspase-2, apoptosis-related cysteine protease	CASP2	Hs.368982	2.604	1.86	0.000076
General transcription factor IIA, 1, 19/37 kDa	GTF2A1	Hs.510068	2.624	1.54	0.000532
Nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4	NFATC4	Hs.77810	2.637	1.6	0.000464
Keratin, hair, basic, 5	KRTHB5	Hs.182507	2.656	1.57	0.000577
Transmembrane protein 24	TMEM24	Hs.26899	2.681	1.72	0.000349
Prepronociceptin	PNOC	Hs.88218	2.693	1.57	0.000939
Peroxisome proliferative activated receptor, ?	PPARA	Hs.275711	2.729	1.65	0.000182
Glucosidase, ?, acid 3 (cytosolic)	GBA3	Hs.371763	2.756	1.62	0.000385
Pparl	—	Hs.272401	2.776	1.67	0.000651
Nuclear factor related to ?B binding protein	NFRKB	Hs.530539	2.784	1.6	0.000044
Apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G/3F	APOBEC3G/3F	Hs.474853	2.79	1.64	0.000468
Keratin-associated protein 5-8	KRTAP5-8	Hs.445245	2.797	1.51	0.000328
RAS-like, family 11, member B	RASL11B	Hs.8035	2.805	1.53	0.000565
Zinc finger, ZZ type with EF hand domain 1	ZZEF1	Hs.277624	2.824	1.58	0.000756
Zinc finger protein 42 (myeloid-specific retinoic acid-responsive)	ZNF42	Hs.399810	2.855	1.51	0.000157
KIAA0953	KIAA0953	Hs.227850	2.86	1.68	0.000093
Serine (or cysteine) proteinase inhibitor, clade A (?-1 antiproteinase, antitrypsin), member 1	SERPINA1	Hs.525557	2.863	1.67	0.000108
Myosin binding protein C, cardiac	MYBPC3	Hs.524906	2.872	1.69	0.00001
Astrotactin	ASTN	Hs.495897	2.875	1.64	0.000285
GLIS family zinc finger 1	GLIS1	Hs.306691	2.938	1.53	0.000094
Solute carrier family 9 isoform 5	SLC9A5	Hs.439650	2.953	1.44	0.000841
207748_at	DARS	—	2.954	1.52	0.000759
Suppressor of cytokine signaling 1	SOCS1	Hs.50640	2.958	1.5	0.000475
Testis expressed sequence 14	TEX14	Hs.390221	2.976	1.75	0.000036
Cancer/testis antigen 1B/1A	CTAG1B/1A	Hs.534310	2.99	1.56	0.000638
PH domain and leucine-rich repeat protein phosphatase-like	PHLPPL	Hs.531564	2.99	1.71	0.000119
Cell division cycle 42 (GTP binding protein, 25 kDa)	CDC42	Hs.467637	3.029	1.51	0.00023
Choline acetyltransferase	CHAT	Hs.302002	3.042	1.67	0.000049
Glycoprotein VI (platelet)	GP6	Hs.272216	3.103	1.55	0.000924
ATP-binding cassette, subfamily A (ABC1), member 1	ABCA1	Hs.429294	3.133	1.54	0.000663
MRNA; cDNA DKFZp434M0835	—	Hs.406781	3.254	1.49	0.000966
Kinase D-interacting substance of 220 kDa	KIDINS220	Hs.9873	3.365	1.51	0.000739
Sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4F	SEMA4F	Hs.25887	3.381	1.65	0.000092
Phosphate regulating endopeptidase homologue, X-linked	PHEX	Hs.495834	3.389	1.4	0.000711
Thioredoxin reductase 2	TXNRD2	Hs.443430	3.425	1.58	0.00009
Thrombospondin 1	THBS1	Hs.164226	3.453	1.41	0.000839
BRCA1-associated protein	BRAP	Hs.530940	3.489	1.42	0.000342
Similar to supervillin isoform 2	LOC387648	Hs.408581	3.607	1.4	0.000893
SNF1-like kinase 2	SNF1LK2	Hs.552588	3.668	1.47	0.000269
KIAA0194 protein	KIAA0194	Hs.549664	3.686	1.39	0.000219
Transient receptor potential cation channel, subfamily C, member 4	TRPC4	Hs.262960	3.703	1.47	0.000549
Brain-specific angiogenesis inhibitor 3	BAI3	Hs.13261	3.895	1.46	0.000226
Coagulation factor II (thrombin) receptor-like 2	F2RL2	Hs.42502	3.955	1.38	0.00073
204898_at	SAP30+	—	4.085	1.41	0.000625
Tumor-associated calcium signal transducer 2	TACSTD2	Hs.23582	4.131	1.43	0.000098
Radixin	RDX	Hs.263671	4.137	1.29	0.000968
Zinc finger protein 480	ZNF480	Hs.147025	4.173	1.43	0.000456
Pancreatic lipase-related protein 2	PNLIPRP2	Hs.423598	4.546	1.4	0.000035
T cell receptor ? chain	TRA	Hs.546379	4.728	1.33	0.00062
Tripartite motif-containing 10	TRIM10	Hs.274295	5.324	1.26	0.000485
