Genbank ID	Gene Title	Gene Symbol	5 h FC ± SEM	8 d FC ± SEM	1.5 mos FC ± SEM	6 mos  FC ± SEM	Gene sequence
BC021640	mitogen-activated protein kinase 12	Mapk12	-1.6 ± 0.4	N.C.	N.C.	N.C.	1
AW909414	mitogen activated protein kinase 8	Mapk8	-2.0 ± 0.4	N.C.	N.C.	N.C.	2
NM_008017	SMC2 structural maintenance of chromosomes 2-like 1 (yeast)	Smc2l1	-1.6 ± 0.4	N.C.	N.C.	N.C.	5
BB088162	Hedgehog-interacting protein	Hhip	-1.9 ± 0.4	N.C.	-1.6 ± 0.4	N.C.	6
BB040443	snail homolog 2 (Drosophila)	Snai2	-4.0 ± 0.4	N.C.	N.C.	-1.7 ± 0.4	8
BB537842	Calcium/calmodulin-dependent protein kinase II, delta	Camk2d	N.C.	-1.8 ± 0.4	N.C.	N.C.	9
AW061083	calcium/calmodulin-dependent protein kinase kinase 2, beta	Camkk2	-2.7 ± 0.4	N.C.	N.C.	N.C.	10
BB230839	Calcium/calmodulin-dependent protein kinase ID, mRNA (cDNA clone IMAGE:5052777)	Camk1d	N.C.	N.C.	-1.7 ± 0.4	N.C.	11
BM227770	calcium/calmodulin -dependent protein kinase II gamma	Camk2g	-1.5 ± 0.3	N.C.	N.C.	N.C.	12
BI134758	RasGEF domain family, member 1A	Rasgef1a	-2.5 ± 0.4	N.C.	N.C.	N.C.	13
BB042252	RAS, guanyl releasing protein 3	Rasgrp3	-3.1 ± 0.4	N.C.	-1.9 ± 0.4	-2.2 ± 0.4	14
BE691356	RAS guanyl releasing protein 1	Rasgrp1	-1.8 ± 0.4	N.C.	-2.2 ± 0.4	N.C.	15
NM_007913	early growth response 1	Egr1	N.C.	N.C.	-4.2 ± 0.5	N.C.	16
