Protein	Protein Description	Corresponding gene	Function
RCC1	regulator of chromosome condensation	CHC1	Cell cycle, DNA binding, Ran guanyl-nucleotide exchange factor activity
p43/EMAPII	multisynthetase complex auxiliary component p43 precursor	SCYE1	Chemotaxis, cell-cell signaling, inflammatory response
	Inhibitor 2	PPP1R2	Type 1 serine/threonine-specific protein phosphatase inhibitor activity
AKAP149	A kinase anchor protein 1, mitochondrial precursor	AAKAP149	Protein kinase A anchoring activity
CHD3	chromodomain helicase-DNA-binding protein 3	CHD3	ATP-dependent DNA helicase activity, ATP binding
PP5	protein phosphatase 5	PPP5C	Protein phosphatase type 2C activity, involved in p53 and Hsp90 regulation
	Caspase-7	CASP7	Apoptosis
Hsp10	heat shock protein 10	HSPE1	Protein folding, chaperone protein
MDM2	murine double minute 2	MDM2	Negative regulation of cell proliferation, oncogenesis
Hsp90	heat shock protein 90	HSPCA	Protein folding, chaperone protein
SH2B	SH2-B homolog	SH2B	Growth factor, cytokine, and immunoreceptor signaling
CRIK	citron Rho-interacting kinase	CIT	Small GTPase regulatory/interacting protein activity
Per2	period circadian protein 2	PER2	Regulator of circadian expression of VEGF mRNA in hypoxic tumors
