GenBank no.	Description	MoDCs 0–8 hr	MoDCs 0–48 hr	MUTZ-3-DCs 0–8 hr	MUTZ-3-DCs 0–48 hr	Function
NM_004357	CD151	?2.2	?2.2	?1.8	?2.5	Cell adhesion
BC005254	CLECSF2	?12.9	?16.0	?1.9	?5.4	Cell adhesion
NM_014880	DCL-1	?5.8	?8.1	?2.2	?2.7	Cell adhesion
NM_000118	ENG	?3.2	?1.2	?1.1	?2.2	Cell adhesion
NM_001431	EPB41L2	?1.5	?2.6	1.1	?2.2	Cell shape
T62571	MAP7	?54.6	?90.7	?1.2	?2.3	Cell shape
BF213829	AIF1	?2.1	?206.4	?1.3	?3.4	Immune/inflammatory response
AA995910	ALOX5	?4.3	?5.6	?1.8	?2.0	Immune/inflammatory response
NM_000700	ANXA1	?2.6	?4.8	?1.5	?2.1	Immune/inflammatory response
L04636	C1QBP	?2.0	?2.4	?1.4	?2.1	Immune/inflammatory response
U62027	C3AR1	?26.6	?26.7	?1.1	?9.6	Immune/inflammatory response
NM_002984	CCL4	3.2	?7.8	2.9	?2.1	Immune/inflammatory response
AI421071	CCR1	?42.0	?39.7	?2.9	?1.5	Immune/inflammatory response
NM_000397	CYBB	?2.5	?2.9	1.2	?3.6	Immune/inflammatory response
M31933	FCGR2B	?10.6	?202.1	1.4	?6.0	Immune/inflammatory response
AF198052	FYB	?14.9	?8.5	?3.1	?2.9	Immune/inflammatory response
AF208043	IFI16	?30.2	?13.8	?2.2	?2.2	Immune/inflammatory response
AF109683	LAIR1	?1.3	?3.0	?1.4	?3.5	Immune/inflammatory response
AF000425	LST1	?2.8	?7.8	?1.5	?2.0	Immune/inflammatory response
NM_004364	CEBPA	?9.1	?5.0	?2.2	?1.3	Regulation of transcription
AF109161	CITED2	?8.1	?20.3	?1.1	?2.5	Regulation of transcription
NM_002131	HMGA1	?6.1	?5.2	?1.1	?2.2	Regulation of transcription
N22468	MEF2C	?12.8	?15.0	?1.7	?8.2	Regulation of transcription
NM_002432	MNDA	?29.3	?10.4	?4.0	?4.5	Regulation of transcription
AW592266	MYBL1	?6.8	?30.2	?1.9	?2.0	Regulation of transcription
U85430	NFATC3	?10.0	?2.8	?1.8	?2.2	Regulation of transcription
L13974	NFE2	?129.2	?96.0	?4.3	?7.9	Regulation of transcription
NM_000677	ADORA3	?15.8	?15.7	?2.3	?2.2	Signalling
NM_001666	ARHGAP4	?3.2	?17.9	?1.4	?2.3	Signalling
NM_019555	ARHGEF3	?22.5	?4.8	?2.0	?2.1	Signalling
NM_024701	ASB13	?1.9	?5.5	?2.5	?1.5	Signalling
NM_001772	CD33	?86.0	?242.1	?1.7	?2.2	Signalling
L07555	CD69	?1.7	?8.7	1	?2.4	Signalling
NM_002183	IL-3RA	1.3	?4.8	1.8	?5.7	Signalling
NM_013416	NCF4	?4.7	?5.7	?1.4	?2.9	Signalling
AW574504	PECAM1	?9.3	?7.2	?2.3	?3.1	Signalling
NM_002953	RPS6KA1	?4.0	1.6	?1.8	?2.2	Signalling
