Position in 3UTRb	Transcript	Transcript designation	UniGene IDc no.	Z ratiod Control	HS
496-526 (0.82)	Cystatin B	CSTB	Hs.S1730514	2.11	3.03
1318-1348 (0.18)	Cellular repressor of E1A-stimulated genes	CREG	Hs.S1729750	0.37	0.97
1532-1563 (0.18), 2585-2615 (3.93)	Caspase 7	CASP7	Hs.S3905493	0.53	1.03
1134-1162 (0.23)	RAN, member of the RAS oncogene family	RAN	Hs.S1732034	–0.06	1.04
1823-1853 (2.21)	Chondroitin 4 sulfotransferase 12	CHST12	Hs.S2293175	1.6	1.97
1284-1314 (0.09), 1390-1420 (8.38)	Signaling lymphocytic activation, family 1	SLAMF1	Hs.S1727828	1.34	1.59
961-991 (0.41)	Calmodulin 2	CALM2	Hs.S1731121	2.4	4.5
2124-2154 (1.38)	Peptidylprolyl isomerase	PPIL4	Hs.S4436246	–0.03	1.66
2394-2424 (5.81)	Armadillo repeat protein ALEX2	ALEX2	Hs.S15115719	–1.09	4.86
1465-1492 (1.28)	APEX nuclease 1	APEX1	Hs.S1726273	–0.21	1.23
2258-2288 (0.09)	Zyxin	ZYX	Hs.S1728244	0.36	1.04
1317-1347 (1.45), 1620-1650 (1.31)	Actin, beta	ACTB	Hs.S1729733	1.61	1.33
430-460 (1.67)	Small nuclear ribonucleoprotein polypeptide F	SNRPF	Hs.S1727894	2	2.93
1751-1781 (3.67)	Cyclin-dependent kinase 9	CDK9	Hs.S1726450	1.12	1.29
2479-2507 (4.10)	Cytosolic ovarian carcinoma antigen 1	COVA1	Hs.S16206717	0.9	1.03
1957-1987 (0.09)	FGFereceptor activating protein 1	FRAG1	Hs.S2138996	1.11	0.86
3159-3189 (0.41)	Adherin 1, type 1, E-cadherin	CDH1	Hs.S1728814	0.46	1.19
2686-2716 (0.69)	Torsin family 1, member B	TOR1B	Hs.S3601747	0.13	0.8
1051-1081 (1.84)	T-cell differentiation protein 2 (MAL2)	MAL2	Hs.S3973043	0.08	1.01
881-907 (0.55), 1173-1203 (0.16)	Hydroxyprostaglandin dehydrogenase 15-(NAD)	HPGD	Hs.S1726960	0.44	0.97
2411-2441 (0.62)	Gamma-glutamyl carboxylase	GGCX	Hs.S1726827	0.66	1.04
2035-2065 (0.18)	Zinc finger protein 36, C3H type-like 2	ZFP36L2	Hs.S1731432	0.98	1.54
2446-2476 (0.35)	Coxsackie virus and adenovirus receptor (CXADR)	CXADR	Hs.S1726585	0.06	1.61
1835-1865 (2.67)	Syndecan 1	SDC1	Hs.S1727791	0.49	0.91
740-770 (1.35), 787-817 (0.09)	ATPase, H+ transporting, lysosomal 13 kDa, V1, G1	ATP6V1G1	Hs.S1728757	–0.16	1.1
1825-1855 (1.58)	Ortholog of Caenorhabditis elegans anterior pharynx defective 1A	APH-1A	Hs.S2140057	1.34	1.04
4986-5017 (3.86), 5850-5880 (0.09), 6843-6874 (1.93)	Sterile a motif and leucine zipper-containing kinase	ZAK	Hs.S4285361	1.34	1.25
4119-4149 (0.21)	Zinc finger RNA-binding protein	ZFR	Hs.S2140327	0.43	0.9
1793-1823 (7.64), 2324-2354 (1.50)	G-protein-coupled receptor 24	GPR24	Hs.S1730575	–0.31	0.98
1237-1267 (0.09)	Neuroblastoma RAS viral (v-ras) oncogene homolog	NRAS	Hs.S1731897	0.26	0.88
2007-2037 (0.39)	Chromatin accessibility complex 1	CHRAC1	Hs.S2140585	0.13	0.94
1938-1968 (1.10), 2040-2069 (2.88)	LAG1 longevity assurance homolog 2 (Saccharomyces cerevisiae)	LASS2	Hs.S16182016	0.13	0.9
1722-1752 (1.35), 3375-3405 (0.93)	Sec 13-like protein	SEC13L	Hs.S3543447	1.34	0.98
1358-1386 (4.76)	Melanoma antigen, family F, 1	MAGEF1	Hs.S3219711	0.98	1.35
1881-1911 (0.82), 2098-2128 (0.93), 3003-3033 (0.18)	Nuclear receptor subfamily 2, group F, member 2	NR2F2	Hs.S3601703	–0.21	1.19
1404-1434 (0.25), 1504-1534 (0.26)	Proteasome 26S subunit, non-ATPase, 10	PSMD10	Hs.S1727525	1.14	1.16
