Gene	GenBank accession	P-value	Fold change	Chromosome location	Function
COL15A1	NM_001855	8.17E-12	4.9	9q21-q22	Cell communication
LRP8	D50678	5.34E-14	3.2	1p34	Cell communication
ARL7	BC001051	7.32E-08	2.6	2q37.2	Cell communication
PAMCI	NM_005447	3.86E-09	2.3	12q21.32	Cell communication
GPR92	AW183080	3.45E-06	-3.8a	12p13.31	Cell communication
TXNIP	NM_006472	7.02E-08	-5.2	1q21.2	Cell communication
EPHB6	D83492	8.44E-07	-6.1	7q33-q35	Cell communication
FLRT2	AB007865	2.68E-11	-15.3	14q24-q32	Cell communication
BCL10	AA994334	7.02E-07	1.9	1p22	Cell death
MGC13096	AL574186	8.75E-09	1.8	19q13.12	Cell death
CTNNAL1	AF006070	4.31E-06	-2.3	9q31.2	Cell death
COP	NM_052889	1.32E-07	-2.5	11	Cell death
NOTCH4	U95299	9.31E-10	1.9	6p21.3	Cell differentiation
ATP8B1	BG290908	1.19E-10	7.7	18q21-q22	Cell growth and/or maintenance
RGC32	AF036549	1.82E-10	7.4	13q13.3	Cell growth and/or maintenance
LCN2	NM_005564	2.56E-09	4.8	9q34	Cell growth and/or maintenance
HIST2H2AA	AI313324	5.75E-10	4.5	1q21.3	Cell growth and/or maintenance
ENPEP	L14721	6.17E-13	3.4	4q25	Cell growth and/or maintenance
H2AFX	BC004915	2.64E-08	2.8	11q23.2-q23.3	Cell growth and/or maintenance
FZD3	AY005130	3.45E-10	2.8	8p21	Cell growth and/or maintenance
SMC4L1	AK002200	5.62E-09	2.7	3q26.1	Cell growth and/or maintenance
PDGFRA	M21574	3.83E-06	-2.9	4q11-q13	Cell growth and/or maintenance
SEMA3C	AB000220	1.05E-08	-2.9	7q21-q31	Cell growth and/or maintenance
MET	J02958	3.20E-11	-3.1	7q31	Cell growth and/or maintenance
LRP2	U33837	9.87E-06	-3.6	2q24-q31	Cell growth and/or maintenance
KCNK6	BC004367	3.97E-15	-3.7	19q13.1	Cell growth and/or maintenance
DAB2	U39050	3.25E-08	-5	5p13	Cell growth and/or maintenance
ARHI	AK021882	4.84E-17	-7.9	1p31	Cell growth and/or maintenance
ABCA8	AB020629	9.43E-09	-9.4	17q24	Cell growth and/or maintenance
MAGP2	U37283	2.34E-09	6.2	12p13.1-p12.3	Cell motility
VAV3	AF067817	3.96E-10	4.5	1p13.3	Cell motility
JAG2	Y14330	2.22E-06	1.7	14q32	Cell motility
FLII	BG421186	1.11E-08	-1.6	17p11.2	Cell motility
DTNA	BC005300	1.02E-06	-1.9	18q12	Cell motility
SLIT2	AF055585	1.76E-06	-1.9	4p15.2	Cell motility
PPAP2A	AF014403	5.19E-08	-2.6	5q11	Cell motility
C4A	NM_000592	3.50E-16	-6.7	6p21.3	Cell motility
TFPI2	BC005330	3.88E-11	-5.4	7q22	Hemostasis
HTLF	BF590117	5.03E-06	1.9	2p22-p16	Invasive growth
NDP52	BC004130	1.49E-08	-1.6	17q21.33	Invasive growth
LOC148203	BE966267	1.35E-08	3.8	19p13.11	Metabolism
KIAA1804	AI809005	4.14E-07	3	1q42	Metabolism
LOC221061	AU150943	8.60E-19	2.9	10p13	Metabolism
HBXAP	BF512183	6.29E-14	2.6	11q13.4	Metabolism
IBRDC2	AI953847	6.95E-07	2.4	6p22.3	Metabolism
ZNF138	AA114243	1.59E-06	2.4	7q11.21-q11.23	Metabolism
OCLN	U49184	3.79E-10	2.3	5q13.1	Metabolism
KIAA1630	BC002477	5.01E-09	2.3	10p14	Metabolism
TRA2A	AA831170	1.24E-07	-2.9	7p15.3	Metabolism
ZFPM2	NM_012082	1.17E-07	-2.9	8q23	Metabolism
DPP4	M80536	2.14E-07	-3	2q24.3	Metabolism
GSTM5	NM_000851	3.90E-10	-3.2	1p13.3	Metabolism
TM4SF7	BC000389	9.45E-07	-3.2	11p15.5	Metabolism
KIAA1055	BF195608	3.39E-06	-3.8	15q24.1	Metabolism
KLK11	AB012917	2.32E-08	-5.5	19q13.3-q13.4	Metabolism
HSD11B1	NM_005525	9.19E-10	-5.6	1q32-q41	Metabolism
F2R	BC002464	6.42E-08	5.8	5q13	Morphogenesis
MCAM	M28882	4.04E-10	5.3	11q23.3	Morphogenesis
FGF18	AI798863	1.01E-10	3.8	5q34	Morphogenesis
CACNA1A	AA769818	2.78E-09	3.3	19p13.2-p13.1	Morphogenesis
PAPSS2	AF150754	3.31E-10	-3.9	10q23-q24	Morphogenesis
GATA6	U66075	1.74E-08	-3.9	18q11.1-q11.2	Morphogenesis
IGFBP4	NM_001552	2.32E-09	-4.2	17q12-q21.1	Morphogenesis
BNC	L03427	3.27E-07	-23.5	15q25.1	Morphogenesis
FGFR1OP	NM_007045	2.52E-16	2.6	6q27	Oncogenesis
BCR	T30183	1.72E-11	-2.1	22q11	Oncogenesis
ALDH1A2	NM_003888	2.98E-11	-12.7	15q21.2	Oncogenesis
ANXA8	BC004376	5.56E-13	-34.4	10q11.2	Oncogenesis
LR8	AF115384	2.60E-06	-3.3	7q36.1	Organogenesis
C19orf2	AB006572	5.54E-06	1.8	19q12	Pathogenesis
USP7	BF591638	9.15E-06	-1.6	16p13.3	Pathogenesis
TRO	AF349719	6.93E-06	-2	Xp11.22-p11.21	Pregnancy
CD24	AK000168	4.30E-10	56.2	6q21	Response to external stimulus
CKLFSF8	AW080832	3.74E-10	3.5	3p22.3	Response to external stimulus
IFITM2	NM_006435	3.07E-12	-2.5	11p15.5	Response to external stimulus
CKLFSF4	AA191708	5.06E.09	-2.5	16q22.1	Response to external stimulus
HF1	X04697	3.52E-06	-2.8	1q32	Response to external stimulus
SERPING1	M13690	1.42E-14	-4	11q12-q13.1	Response to external stimulus
HPS3	AI922198	1.88E-10	18.7	3q24	Function unknown
Unknown	AI343467	6.97E-11	6.3		Function unknown
HSPC195	BC006428	3.46E-08	6.2	5q31.3	Function unknown
Unknown	N63377	3.55E-08	5.6		Function unknown
KIAA0186	NM_021067	3.36E-17	5.5	20p11.21	Function unknown
LRIG1	AB050468	3.11E-14	4.5	3	Function unknown
MGC13057	BE645119	6.28E-10	4.3	2q32.3	Function unknown
SLC39A4	BC001688	4.04E-13	4.3	8q24.3	Function unknown
DUFD1	AL138828	4.89E-14	4.3	6q23.2	Function unknown
SORT1	BE742268	1.84E-11	4	1p21.3-p13.1	Function unknown
FLJ33516	AI967987	1.39E-07	-5.9	Xq22.3	Function unknown
Unknown	BE220209	9.70E-09	-7.8		Function unknown
C20orf75	BC019612	5.95E-11	-8.2	20p13	Function unknown
C11orf9	BC004938	1.49E-07	-8.5	11q12-q13.1	Function unknown
